epoch,loss,loss/data,loss/ic,loss/res,loss/zeta,lr,step
,,,,,,0.001,0
0,1.5061525106430054,0.5479544997215271,0.5324185490608215,0.42577970027923584,0.02164304256439209,,99
,,,,,,0.001,100
1,0.8754549026489258,0.38849353790283203,0.28929397463798523,0.1976674497127533,0.019671300426125526,,199
,,,,,,0.001,200
2,0.6353164911270142,0.3418341279029846,0.08899837732315063,0.2044840157032013,0.018635796383023262,,299
,,,,,,0.001,300
3,0.6010781526565552,0.3902638852596283,0.05528375878930092,0.15553070604801178,0.018229547888040543,,399
,,,,,,0.001,400
4,0.5774264931678772,0.41010570526123047,0.034838199615478516,0.13248272240161896,0.017973879352211952,,499
,,,,,,0.001,500
5,0.47525107860565186,0.33015376329421997,0.03770594298839569,0.10739127546548843,0.017786405980587006,,599
,,,,,,0.001,600
6,0.4217594265937805,0.31743472814559937,0.023598352447152138,0.08072634041309357,0.01764587312936783,,699
,,,,,,0.001,700
7,0.3770595192909241,0.29212066531181335,0.01521387044340372,0.06972502917051315,0.01754223369061947,,799
,,,,,,0.001,800
8,0.3538179099559784,0.2574770152568817,0.03616657853126526,0.060174401849508286,0.017447680234909058,,899
,,,,,,0.001,900
9,0.3360869288444519,0.2330835908651352,0.04302331432700157,0.05998009070754051,0.01740146614611149,,999
,,,,,,0.001,1000
10,0.3354359269142151,0.23644296824932098,0.04497586935758591,0.054017022252082825,0.017407620325684547,,1099
,,,,,,0.001,1100
11,0.33200886845588684,0.24391047656536102,0.034591466188430786,0.053507037460803986,0.01737881265580654,,1199
,,,,,,0.001,1200
12,0.35261258482933044,0.2608126401901245,0.04274873808026314,0.049051400274038315,0.01736057922244072,,1299
,,,,,,0.001,1300
13,0.3522421717643738,0.27421021461486816,0.03050164133310318,0.04753029718995094,0.017355315387248993,,1399
,,,,,,0.001,1400
14,0.33111482858657837,0.25134122371673584,0.017418628558516502,0.06235506013035774,0.017356669530272484,,1499
,,,,,,0.001,1500
15,0.31198397278785706,0.2249339073896408,0.021810252219438553,0.06523983925580978,0.017357349395751953,,1599
,,,,,,0.001,1600
16,0.34143102169036865,0.25565093755722046,0.016428684815764427,0.0693512037396431,0.017339225858449936,,1699
,,,,,,0.001,1700
