epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
,,,,,,0.0005,792
18,167.02291870117188,0.08973779529333115,0.29730528593063354,166.72430419921875,0.0013101182412356138,,835
,,,,,,0.0005,836
19,141.4608154296875,0.09150737524032593,0.29733356833457947,141.16232299804688,0.0011280046310275793,,879
,,,,,,0.0005,880
20,118.05897521972656,0.0931435227394104,0.29736030101776123,117.7606430053711,0.0009735860512591898,,923
,,,,,,0.0005,924
21,96.80481719970703,0.09465616941452026,0.29738569259643555,96.50659942626953,0.0008416920900344849,,967
,,,,,,0.0005,968
22,77.68746185302734,0.09605349600315094,0.2974097430706024,77.38932800292969,0.0007282238802872598,,1011
,,,,,,0.0005,1012
23,60.69754409790039,0.09734169393777847,0.29743286967277527,60.39948272705078,0.000629891874268651,,1055
,,,,,,0.0005,1056
24,45.826805114746094,0.09852484613656998,0.29745522141456604,45.5287971496582,0.0005440221866592765,,1099
,,,,,,0.0005,1100
25,33.067996978759766,0.09960410743951797,0.2974769175052643,32.770050048828125,0.00046839372953400016,,1143
,,,,,,0.0005,1144
26,22.414779663085938,0.1005764752626419,0.29749828577041626,22.11688232421875,0.0004011006676591933,,1187
,,,,,,0.0005,1188
27,13.861504554748535,0.10143159329891205,0.29751962423324585,13.563644409179688,0.0003404106537345797,,1231
,,,,,,0.0005,1232
28,7.4031219482421875,0.10214359313249588,0.2975415587425232,7.105295181274414,0.00028454267885535955,,1275
,,,,,,0.0005,1276
29,3.035140037536621,0.10264361649751663,0.2975652515888214,2.7373433113098145,0.0002311439166078344,,1319
,,,,,,0.0005,1320
30,0.7535238862037659,0.10262896865606308,0.2975936532020569,0.4557552635669708,0.00017488395678810775,,1363
,,,,,,0.0005,1364
31,0.29894253611564636,0.09916867315769196,0.2975473701953888,0.0012259880313649774,0.0001691237703198567,,1407
,,,,,,0.0005,1408
32,0.2971838116645813,0.08559750765562057,0.2961326837539673,1.9096518371952698e-05,0.0010320191504433751,,1451
,,,,,,0.0005,1452
33,0.2968980371952057,0.08207827806472778,0.29655396938323975,3.6258416002965532e-06,0.0003404217422939837,,1495
,,,,,,0.0005,1496
34,0.2955716550350189,0.07173383235931396,0.2939697206020355,9.406051685800776e-05,0.0015078968135640025,,1539
,,,,,,0.0005,1540
35,0.29199573397636414,0.06233682110905647,0.2876770794391632,0.00040409580105915666,0.003914581146091223,,1583
,,,,,,0.0005,1584
36,0.2779724597930908,0.058870911598205566,0.2703849971294403,0.0019671565387398005,0.005620248150080442,,1627
,,,,,,0.0005,1628
37,0.2580896019935608,0.05608361214399338,0.23003549873828888,0.004627645947039127,0.023426488041877747,,1671
,,,,,,0.0005,1672
38,0.2691951394081116,0.05554890260100365,0.20012950897216797,0.005732397548854351,0.0633331835269928,,1715
,,,,,,0.0005,1716
39,0.23621024191379547,0.053945329040288925,0.18895331025123596,0.004930863622575998,0.04232604801654816,,1759
,,,,,,0.0005,1760
40,0.23087935149669647,0.0530892051756382,0.16760537028312683,0.007517873775213957,0.05575614050030708,,1803
,,,,,,0.0005,1804
41,0.24021273851394653,0.0530046746134758,0.16821780800819397,0.005011903587728739,0.06698302924633026,,1847
,,,,,,0.0005,1848
42,0.20389433205127716,0.05344020575284958,0.16920128464698792,0.005737765692174435,0.028955265879631042,,1891
,,,,,,0.0005,1892
43,0.224534273147583,0.05273814871907234,0.1494615525007248,0.008115459233522415,0.06695728749036789,,1935
,,,,,,0.0005,1936
44,0.19275948405265808,0.052268512547016144,0.14660832285881042,0.005760006606578827,0.04039115831255913,,1979
,,,,,,0.0005,1980
45,0.18729595839977264,0.052201446145772934,0.14429573714733124,0.0075970240868628025,0.035403214395046234,,2023
,,,,,,0.0005,2024
46,0.1987098753452301,0.051578495651483536,0.13334816694259644,0.005938336718827486,0.05942341312766075,,2067
,,,,,,0.0005,2068
47,0.18495503067970276,0.0518774650990963,0.14979010820388794,0.010207295417785645,0.02495756931602955,,2111
,,,,,,0.0005,2112
48,0.17626608908176422,0.05167660862207413,0.14643490314483643,0.00879760179668665,0.021033599972724915,,2155
,,,,,,0.0005,2156
49,0.19411954283714294,0.051400039345026016,0.13949352502822876,0.00719838310033083,0.047427598387002945,,2199
,,,,,,0.0005,2200
50,0.19037632644176483,0.05178968980908394,0.13596570491790771,0.005257808603346348,0.04915277659893036,,2243
,,,,,,0.0005,2244
51,0.19847290217876434,0.05130704119801521,0.1321800798177719,0.0062195174396038055,0.060073282569646835,,2287
,,,,,,0.0005,2288
52,0.1893630027770996,0.05119745060801506,0.1355574131011963,0.008921358734369278,0.044884271919727325,,2331
,,,,,,0.0005,2332
53,0.16839446127414703,0.050684064626693726,0.12397922575473785,0.006029166746884584,0.038386065512895584,,2375
,,,,,,0.0005,2376
54,0.251360684633255,0.05095270648598671,0.12350085377693176,0.004088138695806265,0.12377166748046875,,2419
,,,,,,0.0005,2420
55,0.1842658370733261,0.050699666142463684,0.128575399518013,0.005215019918978214,0.050475433468818665,,2463
,,,,,,0.0005,2464
56,0.18133202195167542,0.050765980035066605,0.12202080339193344,0.004550379700958729,0.054760806262493134,,2507
,,,,,,0.0005,2508
57,0.16320936381816864,0.050377342849969864,0.1317523717880249,0.004410074092447758,0.027046918869018555,,2551
,,,,,,0.0005,2552
58,0.17895621061325073,0.050091635435819626,0.12083924561738968,0.004373573698103428,0.05374336615204811,,2595
,,,,,,0.0005,2596
59,0.24025307595729828,0.0497080497443676,0.11509543657302856,0.004296231549233198,0.12086142599582672,,2639
,,,,,,0.0005,2640
60,0.25647908449172974,0.04955172911286354,0.10827437788248062,0.0035935668274760246,0.14461109042167664,,2683
,,,,,,0.0005,2684
61,0.19149769842624664,0.0498821996152401,0.11196327954530716,0.004010009579360485,0.07552441209554672,,2727
,,,,,,0.0005,2728
62,0.14187869429588318,0.04957905784249306,0.11489041149616241,0.004390271380543709,0.02259799651801586,,2771
,,,,,,0.0005,2772
63,0.14572516083717346,0.04947105795145035,0.11890245229005814,0.004051818046718836,0.02277088351547718,,2815
,,,,,,0.0005,2816
64,0.19356073439121246,0.049435362219810486,0.10665657371282578,0.0027005355805158615,0.08420363813638687,,2859
,,,,,,0.0005,2860
65,0.14543962478637695,0.049551866948604584,0.11131644994020462,0.002518225461244583,0.03160492330789566,,2903
,,,,,,0.0005,2904
66,0.1442490965127945,0.04930919036269188,0.11360564827919006,0.0024844398722052574,0.02815900556743145,,2947
,,,,,,0.0005,2948
67,0.16088078916072845,0.049052126705646515,0.11585318297147751,0.0020377126056700945,0.04298986494541168,,2991
,,,,,,0.0005,2992
68,0.19784215092658997,0.0490996316075325,0.10798775404691696,0.0017036329954862595,0.08815079927444458,,3035
,,,,,,0.0005,3036
69,0.15251782536506653,0.04920553043484688,0.11325474083423615,0.0021342074032872915,0.03712886944413185,,3079
,,,,,,0.0005,3080
70,0.15678520500659943,0.049053192138671875,0.10509362071752548,0.0021166668739169836,0.049574870616197586,,3123
,,,,,,0.0005,3124
71,0.13587167859077454,0.04911890625953674,0.11587780714035034,0.002223409479483962,0.017770443111658096,,3167
,,,,,,0.0005,3168
72,0.16879184544086456,0.048693493008613586,0.10482659935951233,0.0026278323493897915,0.0613374337553978,,3211
,,,,,,0.0005,3212
73,0.15147806704044342,0.04886963963508606,0.1037096232175827,0.0015337689546868205,0.04623465612530708,,3255
,,,,,,0.0005,3256
74,0.1422213315963745,0.04908415675163269,0.11146455258131027,0.0012959709856659174,0.029460802674293518,,3299
,,,,,,0.0005,3300
75,0.13750341534614563,0.048998698592185974,0.10977083444595337,0.0012224677484482527,0.026510115712881088,,3343
,,,,,,0.0005,3344
76,0.12968941032886505,0.04871194809675217,0.10709241032600403,0.0012724052648991346,0.021324584260582924,,3387
,,,,,,0.0005,3388
77,0.1289444863796234,0.048733796924352646,0.10589677840471268,0.00098516047000885,0.022062551230192184,,3431
,,,,,,0.0005,3432
78,0.1262650489807129,0.048772308975458145,0.10900862514972687,0.0008405624539591372,0.016415849328041077,,3475
,,,,,,0.0005,3476
79,0.135176420211792,0.04901675879955292,0.11364921182394028,0.000861596898175776,0.02066563442349434,,3519
,,,,,,0.0005,3520
80,0.12727117538452148,0.04868053272366524,0.10865270346403122,0.000789480225648731,0.01782897673547268,,3563
,,,,,,0.0005,3564
81,0.13382047414779663,0.04843082278966904,0.11187329143285751,0.0007396642467938364,0.02120751515030861,,3607
,,,,,,0.0005,3608
82,0.1365349441766739,0.04791910946369171,0.10164770483970642,0.0007674764492549002,0.034119777381420135,,3651
,,,,,,0.0005,3652
83,0.1275046467781067,0.047915857285261154,0.10215958952903748,0.000567304901778698,0.024777743965387344,,3695
,,,,,,0.0005,3696
84,0.13271217048168182,0.04797698184847832,0.09896056354045868,0.0004977653152309358,0.033253829926252365,,3739
,,,,,,0.0005,3740
85,0.12615163624286652,0.04841206222772598,0.10730879753828049,0.0004579545638989657,0.018384922295808792,,3783
,,,,,,0.0005,3784
86,0.13576997816562653,0.048285964876413345,0.104428231716156,0.00045161054003983736,0.03089011088013649,,3827
,,,,,,0.0005,3828
87,0.13884955644607544,0.04810118302702904,0.10467793047428131,0.0004504396638367325,0.0337211973965168,,3871
,,,,,,0.0005,3872
88,0.14720115065574646,0.048226550221443176,0.10030414909124374,0.0004769131192006171,0.04642008617520332,,3915
,,,,,,0.0005,3916
89,0.16342192888259888,0.04828055575489998,0.09915312379598618,0.00040694192284718156,0.06386182457208633,,3959
,,,,,,0.0005,3960
90,0.12334243953227997,0.048127736896276474,0.10035475343465805,0.00043476579594425857,0.022552913054823875,,4003
,,,,,,0.0005,4004
91,0.1245567724108696,0.04797787219285965,0.11010672897100449,0.00038356316508725286,0.014066474512219429,,4047
,,,,,,0.0005,4048
92,0.1282205730676651,0.047844164073467255,0.10095986723899841,0.0002901862026192248,0.026970524340867996,,4091
,,,,,,0.0005,4092
93,0.12469712644815445,0.04767075553536415,0.10238726437091827,0.00028941204072907567,0.02202044241130352,,4135
,,,,,,0.0005,4136
94,0.12614421546459198,0.04770636558532715,0.10104638338088989,0.00034287318703718483,0.024754976853728294,,4179
,,,,,,0.0005,4180
95,0.11778439581394196,0.047592151910066605,0.10401801764965057,0.00036501462454907596,0.013401377946138382,,4223
,,,,,,0.0005,4224
96,0.13863566517829895,0.047599393874406815,0.09679762274026871,0.00029900838853791356,0.04153905436396599,,4267
,,,,,,0.0005,4268
97,0.12875014543533325,0.04758797213435173,0.09637981653213501,0.0002466904988978058,0.032123614102602005,,4311
,,,,,,0.0005,4312
98,0.1361401379108429,0.04766669496893883,0.10134043544530869,0.00023869793221820146,0.03456099331378937,,4355
,,,,,,0.0005,4356
99,0.12171927839517593,0.04753417149186134,0.09625192731618881,0.000257360894465819,0.02520999126136303,,4399
,,,,,,0.0005,4400
100,0.11623780429363251,0.04753316193819046,0.1010083556175232,0.00020290057000238448,0.015026543289422989,,4443
,,,,,,0.0005,4444
101,0.11120018362998962,0.047639477998018265,0.09517546743154526,0.00018611797713674605,0.01583859696984291,,4487
,,,,,,0.0005,4488
102,0.11793442815542221,0.04786669462919235,0.10267364978790283,0.00015950035594869405,0.015101269818842411,,4531
,,,,,,0.0005,4532
103,0.11911698430776596,0.04792414978146553,0.10254033654928207,0.00016297005640808493,0.01641366444528103,,4575
,,,,,,0.0005,4576
104,0.1250986009836197,0.04780830442905426,0.09505350142717361,0.0001587427395861596,0.029886357486248016,,4619
,,,,,,0.0005,4620
105,0.11544472724199295,0.047846753150224686,0.10569030046463013,0.00013645061699207872,0.009617972187697887,,4663
,,,,,,0.0005,4664
106,0.11526361852884293,0.047831982374191284,0.09984803199768066,0.0001438565959688276,0.015271746553480625,,4707
,,,,,,0.0005,4708
107,0.11081118136644363,0.047690145671367645,0.09995786100625992,0.00038464361568912864,0.01046866737306118,,4751
,,,,,,0.0005,4752
108,0.10696325451135635,0.04770636186003685,0.09306865930557251,0.00012331269681453705,0.013771281577646732,,4795
,,,,,,0.0005,4796
109,0.10803809016942978,0.047686751931905746,0.09591400623321533,0.0001220343037857674,0.012002050876617432,,4839
,,,,,,0.0005,4840
110,0.10255596041679382,0.04762287810444832,0.09200037270784378,0.00014356657629832625,0.010412021540105343,,4883
,,,,,,0.0005,4884
111,0.10732201486825943,0.04759266972541809,0.0879296138882637,0.00010898023174377158,0.019283421337604523,,4927
,,,,,,0.0005,4928
112,0.10986726731061935,0.04743339866399765,0.09139598160982132,6.971840048208833e-05,0.018401559442281723,,4971
,,,,,,0.0005,4972
113,0.10389243066310883,0.047361236065626144,0.07968592643737793,8.102235005935654e-05,0.024125469848513603,,5015
,,,,,,0.0005,5016
114,0.10214057564735413,0.047432880848646164,0.0826704204082489,4.055554381920956e-05,0.019429592415690422,,5059
,,,,,,0.0005,5060
115,0.09754534810781479,0.04737093299627304,0.08398159593343735,0.00011957890819758177,0.013444175943732262,,5103
,,,,,,0.0005,5104
