epoch,loss,loss/alpha,loss/bc_left,loss/bc_right,loss/data,loss/ic,loss/pde_residual,loss/smma,lr,step
,,,,,,,,,0.001,0
0,0.10333739221096039,0.022359464317560196,0.014872479252517223,0.01380863506346941,0.014786959625780582,0.02048373967409134,0.039385490119457245,,,1249
,,,,,,,,,0.000999998904474312,1250
1,0.008910195901989937,4.412688213051297e-06,0.0018277168273925781,0.0017970289336517453,0.0020194207318127155,0.0023455361369997263,0.0009204884408973157,,,2499
,,,,,,,,,0.0009999956179020531,2500
2,0.006585611030459404,3.3550434181961464e-06,0.0012808383908122778,0.0013114416506141424,0.0016668165335431695,0.0016206051222980022,0.0007059110212139785,,,3749
,,,,,,,,,0.0009999901402976403,3750
3,0.004937451332807541,2.9623961381730624e-06,0.0009524590568616986,0.0009769807802513242,0.0013807821087539196,0.0010380394523963332,0.0005891890032216907,,,4999
,,,,,,,,,0.000999982471685101,5000
4,0.0047820559702813625,4.181581061857287e-06,0.0009317693766206503,0.0009280150406993926,0.001335782348178327,0.0009918842697516084,0.0005946056917309761,,,6249
,,,,,,,,,0.0009999726120980732,6250
5,0.004100142978131771,2.6487284685572376e-06,0.0007893547881394625,0.0007961764931678772,0.0011672021355479956,0.0008719179313629866,0.0004754909605253488,,,7499
,,,,,,,,,0.0009999605615798061,7500
6,0.003246045671403408,3.199290176780778e-06,0.0005311862332746387,0.0005312658031471074,0.0011011185124516487,0.0007213993812911212,0.00036107588675804436,,,8749
,,,,,,,,,0.000999946320183159,8750
7,0.0028064041398465633,2.1521548205782892e-06,0.0005044713616371155,0.0005210898816585541,0.000973477668594569,0.0005226356443017721,0.00028473304701037705,,,9999
,,,,,,,,,0.0009999298879706017,10000
8,0.002974350471049547,1.9206106571800774e-06,0.0005651749670505524,0.0005711820558644831,0.0010052707511931658,0.0005606783670373261,0.000272042874712497,,,11249
,,,,,,,,,0.000999911265014214,11250
9,0.002496525878086686,2.0054233118571574e-06,0.0004003523790743202,0.00042413119808770716,0.0009771380573511124,0.0004694857052527368,0.0002254174032714218,,,12499
,,,,,,,,,0.0009998904513956852,12500
10,0.001974425744265318,1.6864128156157676e-06,0.00028519603074528277,0.0002805700059980154,0.0008415467455051839,0.0003684055991470814,0.00019870790129061788,,,13749
,,,,,,,,,0.000999867447206314,13750
11,0.002127675339579582,1.8691349623622955e-06,0.00035826434032060206,0.00037103405338712037,0.0008689078385941684,0.0003642185474745929,0.0001652519276831299,,,14999
,,,,,,,,,0.0009998422525470082,15000
12,0.0018622044008225203,1.931525957843405e-06,0.0002619292645249516,0.0002582779270596802,0.0008221056195907295,0.0003400829737074673,0.0001798089360818267,,,16249
,,,,,,,,,0.0009998148675282837,16250
13,0.0018290473381057382,1.6211166666835197e-06,0.00025793741224333644,0.0002626364293973893,0.0008216219721361995,0.0003312667249701917,0.00015558695304207504,,,17499
,,,,,,,,,0.0009997852922702648,17500
14,0.0018348918529227376,1.6030920733101084e-06,0.000266259623458609,0.0002690606052055955,0.0008214503177441657,0.000323780404869467,0.00015434085798915476,,,18749
,,,,,,,,,0.0009997535269026829,18750
15,0.0016548678977414966,1.8965733943332452e-06,0.00022143477690406144,0.00022223524865694344,0.000784377392847091,0.0002922247804235667,0.00013459572801366448,,,19999
,,,,,,,,,0.0009997195715648764,20000
16,0.00176306685898453,1.8493153675080976e-06,0.0002510477788746357,0.0002636862627696246,0.0008178803254850209,0.0002867016301024705,0.00014375150203704834,,,21249
,,,,,,,,,0.00099968342640579,21250
17,0.0015008017653599381,1.4687981320093968e-06,0.0002017700026044622,0.00020303470955695957,0.0007414988940581679,0.00023393146693706512,0.00012056679406668991,,,22499
,,,,,,,,,0.0009996450915839743,22500
18,0.001563884550705552,1.6171168226719601e-06,0.0002138013660442084,0.00021690892754122615,0.0007465521921403706,0.00025838369037956,0.0001282368612010032,,,23749
,,,,,,,,,0.0009996045672675843,23750
19,0.0015191342681646347,1.537444518362463e-06,0.00020169251365587115,0.00020197799312882125,0.0007478692568838596,0.00024098120047710836,0.00012661250366363674,,,24999
,,,,,,,,,0.0009995618536343797,25000
20,0.001488886890001595,1.5298218158932286e-06,0.0001906768884509802,0.00019958853954449296,0.000749722181353718,0.00023097207304090261,0.00011792762234108523,,,26249
,,,,,,,,,0.0009995169508717234,26250
21,0.0013820126187056303,1.4694087440147996e-06,0.00016438170860055834,0.0001738447608659044,0.0007213766220957041,0.00020457808568608016,0.00011783031368395314,,,27499
,,,,,,,,,0.0009994698591765806,27500
22,0.0013425442157313228,1.593373553987476e-06,0.00015053253446239978,0.00015767027798574418,0.0007206754526123405,0.00020094611681997776,0.00011271923722233623,,,28749
,,,,,,,,,0.0009994205787555188,28750
23,0.0013496694155037403,1.5587793313898146e-06,0.00016187290020752698,0.0001710563083179295,0.0007082702359184623,0.00019951080321334302,0.00010895950981648639,,,29999
,,,,,,,,,0.000999369109824706,30000
24,0.0013200297253206372,1.51699396155891e-06,0.00015161350893322378,0.00015775454812683165,0.0007138190558180213,0.00019208365119993687,0.00010475877206772566,,,31249
,,,,,,,,,0.0009993154526099098,31250
25,0.0012943196343258023,1.5290980854842928e-06,0.00014749367255717516,0.00015636469470337033,0.0006983450730331242,0.0001867821702035144,0.0001053341620718129,,,32499
,,,,,,,,,0.0009992596073464975,32500
26,0.0013071978464722633,1.5344835446740035e-06,0.00014061728143133223,0.00014241320604924113,0.0007186755537986755,0.00020030159794259816,0.00010519034549361095,,,33749
