epoch,loss,loss/alpha,loss/bc_left,loss/bc_right,loss/data,loss/ic,loss/pde_residual,lr,step
,,,,,,,,0.001,0
0,0.13721123337745667,0.02202359028160572,0.016731392592191696,0.013474618084728718,0.014803936704993248,0.02348250523209572,0.06871847808361053,,1249
,,,,,,,,0.001,1250
1,0.016533007845282555,2.6099282877112273e-06,0.004217461682856083,0.00408461969345808,0.0032127872109413147,0.004100508987903595,0.0009176311432383955,,2499
,,,,,,,,0.001,2500
2,0.007291506975889206,3.6058340810996015e-06,0.0016382469329982996,0.0017388317501172423,0.0016132801538333297,0.0015575640136376023,0.0007435862789861858,,3749
,,,,,,,,0.001,3750
3,0.00832403264939785,6.393645890057087e-06,0.001797813456505537,0.0018468061462044716,0.0018377740634605289,0.0019009227398782969,0.0009407166508026421,,4999
,,,,,,,,0.001,5000
4,0.006150936707854271,2.2444091882789508e-06,0.0013013039715588093,0.00138476409483701,0.001561666140332818,0.001339825103059411,0.0005633722757920623,,6249
,,,,,,,,0.001,6250
5,0.005958655383437872,2.582157321739942e-06,0.0012465433683246374,0.0012726109707728028,0.0015125001082196832,0.001332874409854412,0.0005941262934356928,,7499
,,,,,,,,0.001,7500
6,0.004919822793453932,7.524906322942115e-06,0.001021279487758875,0.001070775673724711,0.0012492315145209432,0.0010884117800742388,0.0004901238135062158,,8749
,,,,,,,,0.001,8750
7,0.005006697494536638,3.956889486289583e-06,0.0009144259383901954,0.0009589343098923564,0.0014029591111466289,0.0012363535352051258,0.0004940201179124415,,9999
,,,,,,,,0.001,10000
8,0.0037379958666861057,2.2143094611237757e-06,0.0007524611428380013,0.0007957571651786566,0.001011466607451439,0.0008498930255882442,0.00032841743086464703,,11249
,,,,,,,,0.001,11250
9,0.0035766293294727802,2.8992005809413968e-06,0.0006896879058331251,0.0007234244258143008,0.0010628518648445606,0.0007812351104803383,0.0003194321761839092,,12499
,,,,,,,,0.001,12500
10,0.0029413867741823196,3.0760249956074404e-06,0.000587198999710381,0.0006248682038858533,0.0009216563194058836,0.0005556870019063354,0.00025197825743816793,,13749
,,,,,,,,0.001,13750
11,0.003041417570784688,2.2848023490951164e-06,0.0005849962471984327,0.0005812793970108032,0.0009479234577156603,0.0006499981391243637,0.0002772214647848159,,14999
,,,,,,,,0.001,15000
12,0.0028732081409543753,2.175163899664767e-06,0.0005052979686297476,0.0005339685012586415,0.0009607905521988869,0.0006404515006579459,0.0002327003312529996,,16249
,,,,,,,,0.001,16250
13,0.0031158369965851307,2.1408641259768046e-06,0.0006317400257103145,0.0006604133523069322,0.0009981896728277206,0.0006021803128533065,0.00022331395302899182,,17499
,,,,,,,,0.001,17500
14,0.0024022413417696953,1.800111363081669e-06,0.00045289803529158235,0.00045806760317645967,0.0008473132038488984,0.00046380195999518037,0.0001801590115064755,,18749
,,,,,,,,0.001,18750
15,0.0024050429929047823,2.012171989917988e-06,0.0004238284018356353,0.000443048047600314,0.0008436432108283043,0.0005217414582148194,0.00017278309678658843,,19999
,,,,,,,,0.001,20000
16,0.002112768590450287,2.1275104700180236e-06,0.00036716205067932606,0.00037613240419887006,0.0008073036442510784,0.00039986823685467243,0.0001622997660888359,,21249
,,,,,,,,0.001,21250
