epoch,loss,loss/bc_left,loss/bc_right,loss/c,loss/data,loss/ic,loss/ic_velocity,loss/pde_residual,loss/smma,lr,step
,,,,,,,,,,0.001,0
0,0.43340152502059937,0.027099166065454483,0.015425343066453934,0.10307256877422333,0.10874731093645096,0.060150086879730225,0.03439048305153847,0.1875898241996765,,,1249
,,,,,,,,,,0.000999998904474312,1250
1,0.04117434099316597,0.0021977999713271856,0.0017573008080944419,0.0026066324207931757,0.003576484974473715,0.002896978985518217,0.0014957466628402472,0.029249999672174454,,,2499
,,,,,,,,,,0.0009999956179020531,2500
2,0.03023114614188671,0.001690461183898151,0.0015794909559190273,0.0009099300368689001,0.0022866399958729744,0.0024156596045941114,0.0008733959402889013,0.021385475993156433,,,3749
,,,,,,,,,,0.0009999901402976403,3750
3,0.028473621234297752,0.0013474670704454184,0.00129925855435431,0.0006874974933452904,0.0019362617749720812,0.0021268308628350496,0.0008524389122612774,0.020911380648612976,,,4999
,,,,,,,,,,0.000999982471685101,5000
4,0.025685055181384087,0.0014096025843173265,0.0013543525710701942,0.0006088211084716022,0.0019485197262838483,0.001968902302905917,0.0008045457652769983,0.018199140205979347,,,6249
,,,,,,,,,,0.0009999726120980732,6250
5,0.0248166061937809,0.0014488688902929425,0.001422048662789166,0.0005739075713790953,0.0018455215031281114,0.002302394947037101,0.0007252197246998549,0.017072558403015137,,,7499
,,,,,,,,,,0.0009999605615798061,7500
6,0.021916184574365616,0.0012962182518094778,0.001285914913751185,0.0005342178628779948,0.0017031222814694047,0.0019335388205945492,0.0006581197376362979,0.015039291232824326,,,8749
,,,,,,,,,,0.000999946320183159,8750
7,0.01804373972117901,0.0010677920654416084,0.0010616133222356439,0.0003502709441818297,0.0014716864097863436,0.001535633229650557,0.0005679288296960294,0.012339077889919281,,,9999
,,,,,,,,,,0.0009999298879706017,10000
8,0.01920502632856369,0.0012266653357073665,0.0012159603647887707,0.0003591602435335517,0.0016075364546850324,0.0017746866215020418,0.000579731771722436,0.01280045136809349,,,11249
,,,,,,,,,,0.000999911265014214,11250
9,0.01715335063636303,0.0010417873272672296,0.0010380420135334134,0.00026469441945664585,0.0014841965166851878,0.001505489693954587,0.0004913476295769215,0.011592494323849678,,,12499
,,,,,,,,,,0.0009998904513956852,12500
10,0.017816970124840736,0.001135165337473154,0.0011339529883116484,0.0003293161862529814,0.0014833267778158188,0.0014827917329967022,0.0005472303018905222,0.012034493498504162,,,13749
,,,,,,,,,,0.000999867447206314,13750
11,0.0165569968521595,0.001055933185853064,0.0010391860269010067,0.00033103101304732263,0.0013254692312330008,0.001379297929815948,0.0004923442611470819,0.011264776811003685,,,14999
,,,,,,,,,,0.0009998422525470082,15000
12,0.014723703265190125,0.0010620553512126207,0.00105429464019835,0.00027733069146052003,0.0014812443405389786,0.0014555314555764198,0.00039599588490091264,0.009274573065340519,,,16249
,,,,,,,,,,0.0009998148675282837,16250
13,0.01441771350800991,0.0009637830662541091,0.0009777599480003119,0.00019845964561682194,0.0012920210137963295,0.001247796113602817,0.00040511094266548753,0.00953124649822712,,,17499
,,,,,,,,,,0.0009997852922702648,17500
14,0.014234245754778385,0.000847004703246057,0.0008463129051961005,0.0002052446361631155,0.0012174476869404316,0.0010246515739709139,0.0004766240599565208,0.009822207503020763,,,18749
,,,,,,,,,,0.0009997535269026829,18750
15,0.0134196225553751,0.001006213016808033,0.0010068102274090052,0.00023107965535018593,0.0013325575273483992,0.0012335923966020346,0.0003632080915849656,0.00847723800688982,,,19999
