x,t,u_pred,u_true,error
-9.591837e-01,3.265306e-01,1.597539e-01,4.665315e-01,3.067776e-01
-9.591837e-01,3.469388e-01,1.608725e-01,4.571866e-01,2.963142e-01
-9.591837e-01,3.673469e-01,1.620013e-01,4.486501e-01,2.866488e-01
-9.591837e-01,3.877551e-01,1.629958e-01,4.408207e-01,2.778249e-01
-9.591837e-01,4.081632e-01,1.637238e-01,4.336146e-01,2.698908e-01
-9.591837e-01,4.285714e-01,1.641390e-01,4.269609e-01,2.628220e-01
-9.591837e-01,4.489796e-01,1.642882e-01,4.207997e-01,2.565115e-01
-9.591837e-01,4.693877e-01,1.642681e-01,4.150793e-01,2.508112e-01
-9.591837e-01,4.897959e-01,1.641793e-01,4.097551e-01,2.455758e-01
-9.591837e-01,5.102041e-01,1.640996e-01,4.047889e-01,2.406892e-01
-9.591837e-01,5.306122e-01,1.640646e-01,4.001468e-01,2.360823e-01
-9.591837e-01,5.510204e-01,1.640579e-01,3.957996e-01,2.317417e-01
-9.591837e-01,5.714286e-01,1.640341e-01,3.917212e-01,2.276871e-01
-9.591837e-01,5.918368e-01,1.639528e-01,3.878888e-01,2.239360e-01
-9.591837e-01,6.122449e-01,1.637951e-01,3.842820e-01,2.204869e-01
-9.591837e-01,6.326531e-01,1.635633e-01,3.808827e-01,2.173195e-01
-9.591837e-01,6.530612e-01,1.632725e-01,3.776748e-01,2.144023e-01
-9.591837e-01,6.734694e-01,1.629406e-01,3.746438e-01,2.117032e-01
-9.591837e-01,6.938776e-01,1.625838e-01,3.717768e-01,2.091929e-01
-9.591837e-01,7.142857e-01,1.622132e-01,3.690616e-01,2.068484e-01
-9.591837e-01,7.346939e-01,1.618331e-01,3.664874e-01,2.046544e-01
-9.591837e-01,7.551020e-01,1.614403e-01,3.640447e-01,2.026044e-01
-9.591837e-01,7.755102e-01,1.610237e-01,3.617245e-01,2.007008e-01
-9.591837e-01,7.959183e-01,1.605664e-01,3.595188e-01,1.989523e-01
-9.591837e-01,8.163266e-01,1.600739e-01,3.574202e-01,1.973463e-01
-9.591837e-01,8.367347e-01,1.596306e-01,3.554219e-01,1.957914e-01
-9.591837e-01,8.571429e-01,1.594298e-01,3.535179e-01,1.940881e-01
-9.591837e-01,8.775510e-01,1.596963e-01,3.517023e-01,1.920060e-01
-9.591837e-01,8.979592e-01,1.605727e-01,3.499700e-01,1.893973e-01
-9.591837e-01,9.183673e-01,1.620661e-01,3.483160e-01,1.862499e-01
-9.591837e-01,9.387755e-01,1.640549e-01,3.467358e-01,1.826809e-01
-9.591837e-01,9.591837e-01,1.664171e-01,3.452254e-01,1.788083e-01
-9.591837e-01,9.795918e-01,1.691753e-01,3.437808e-01,1.746055e-01
-9.591837e-01,1.000000e+00,1.724974e-01,3.423986e-01,1.699011e-01
-9.183673e-01,0.000000e+00,9.921777e-01,9.999954e-01,7.817745e-03
-9.183673e-01,2.040816e-02,3.225173e-01,9.999123e-01,6.773950e-01
-9.183673e-01,4.081633e-02,3.179626e-01,9.967526e-01,6.787900e-01
-9.183673e-01,6.122449e-02,3.168837e-01,9.856185e-01,6.687348e-01
-9.183673e-01,8.163265e-02,3.168999e-01,9.678732e-01,6.509732e-01
-9.183673e-01,1.020408e-01,3.168845e-01,9.468159e-01,6.299313e-01
-9.183673e-01,1.224490e-01,3.168590e-01,9.247776e-01,6.079186e-01
-9.183673e-01,1.428571e-01,3.170553e-01,9.030478e-01,5.859925e-01
-9.183673e-01,1.632653e-01,3.176276e-01,8.822624e-01,5.646348e-01
-9.183673e-01,1.836735e-01,3.186201e-01,8.626956e-01,5.440755e-01
-9.183673e-01,2.040816e-01,3.199949e-01,8.444301e-01,5.244353e-01
-9.183673e-01,2.244898e-01,3.216674e-01,8.274511e-01,5.057837e-01
-9.183673e-01,2.448980e-01,3.235404e-01,8.116959e-01,4.881556e-01
-9.183673e-01,2.653061e-01,3.255371e-01,7.970816e-01,4.715445e-01
-9.183673e-01,2.857143e-01,3.276236e-01,7.835189e-01,4.558953e-01
-9.183673e-01,3.061225e-01,3.298119e-01,7.709194e-01,4.411076e-01
-9.183673e-01,3.265306e-01,3.321317e-01,7.591998e-01,4.270681e-01
-9.183673e-01,3.469388e-01,3.345768e-01,7.482844e-01,4.137076e-01
-9.183673e-01,3.673469e-01,3.370726e-01,7.381016e-01,4.010290e-01
-9.183673e-01,3.877551e-01,3.395027e-01,7.285867e-01,3.890840e-01
-9.183673e-01,4.081632e-01,3.417634e-01,7.196822e-01,3.779188e-01
-9.183673e-01,4.285714e-01,3.437943e-01,7.113364e-01,3.675420e-01
-9.183673e-01,4.489796e-01,3.455684e-01,7.035031e-01,3.579347e-01
-9.183673e-01,4.693877e-01,3.470772e-01,6.961405e-01,3.490632e-01
-9.183673e-01,4.897959e-01,3.483212e-01,6.892110e-01,3.408898e-01
