x,t,u_pred,u_true,error,D_pred,D_true
0.000000e+00,0.000000e+00,-1.503736e-03,-2.560737e-02,2.410363e-02,1.101805e-01,1.000000e-01
0.000000e+00,2.040816e-02,-1.334727e-03,-8.643123e-04,4.704145e-04,1.097428e-01,1.000000e-01
0.000000e+00,4.081633e-02,-1.460910e-03,9.531906e-04,2.414100e-03,1.090277e-01,1.000000e-01
0.000000e+00,6.122449e-02,-1.699865e-03,-4.761778e-03,3.061913e-03,1.088695e-01,1.000000e-01
0.000000e+00,8.163265e-02,-1.909345e-03,-1.013514e-02,8.225792e-03,1.090821e-01,1.000000e-01
0.000000e+00,1.020408e-01,-2.010733e-03,8.857531e-03,1.086826e-02,1.095956e-01,1.000000e-01
0.000000e+00,1.224490e-01,-2.010942e-03,5.215113e-03,7.226054e-03,1.101558e-01,1.000000e-01
0.000000e+00,1.428571e-01,-1.963705e-03,8.675518e-03,1.063922e-02,1.105983e-01,1.000000e-01
0.000000e+00,1.632653e-01,-1.921833e-03,-1.208523e-02,1.016340e-02,1.108115e-01,1.000000e-01
0.000000e+00,1.836735e-01,-1.913965e-03,3.933710e-03,5.847674e-03,1.108279e-01,1.000000e-01
0.000000e+00,2.040816e-01,-1.944125e-03,1.208973e-02,1.403385e-02,1.105066e-01,1.000000e-01
0.000000e+00,2.244898e-01,-2.000362e-03,5.986684e-03,7.987046e-03,1.100130e-01,1.000000e-01
0.000000e+00,2.448980e-01,-2.065361e-03,1.134513e-02,1.341049e-02,1.095713e-01,1.000000e-01
0.000000e+00,2.653061e-01,-2.122909e-03,-2.829010e-02,2.616719e-02,1.092933e-01,1.000000e-01
0.000000e+00,2.857143e-01,-2.161384e-03,1.002665e-02,1.218804e-02,1.091935e-01,1.000000e-01
0.000000e+00,3.061225e-01,-2.174735e-03,1.551448e-02,1.768921e-02,1.092545e-01,1.000000e-01
0.000000e+00,3.265306e-01,-2.161622e-03,-1.166041e-02,9.498783e-03,1.094514e-01,1.000000e-01
0.000000e+00,3.469388e-01,-2.124429e-03,7.911047e-03,1.003548e-02,1.097435e-01,1.000000e-01
0.000000e+00,3.673469e-01,-2.067685e-03,-1.327830e-02,1.121061e-02,1.100598e-01,1.000000e-01
0.000000e+00,3.877551e-01,-1.996875e-03,-2.863402e-03,8.665272e-04,1.103396e-01,1.000000e-01
0.000000e+00,4.081632e-01,-1.917541e-03,7.249780e-03,9.167321e-03,1.105821e-01,1.000000e-01
0.000000e+00,4.285714e-01,-1.834393e-03,-4.715424e-04,1.362850e-03,1.107792e-01,1.000000e-01
0.000000e+00,4.489796e-01,-1.751691e-03,-5.590749e-04,1.192616e-03,1.108526e-01,1.000000e-01
0.000000e+00,4.693877e-01,-1.672238e-03,-1.610927e-02,1.443704e-02,1.107030e-01,1.000000e-01
0.000000e+00,4.897959e-01,-1.598716e-03,2.409733e-03,4.008449e-03,1.102928e-01,1.000000e-01
0.000000e+00,5.102041e-01,-1.533091e-03,-9.807394e-03,8.274303e-03,1.096781e-01,1.000000e-01
0.000000e+00,5.306122e-01,-1.477271e-03,3.800462e-03,5.277733e-03,1.089610e-01,1.000000e-01
0.000000e+00,5.510204e-01,-1.432955e-03,1.197597e-02,1.340892e-02,1.081945e-01,1.000000e-01
0.000000e+00,5.714286e-01,-1.401424e-03,-1.635230e-02,1.495088e-02,1.073979e-01,1.000000e-01
0.000000e+00,5.918368e-01,-1.382709e-03,1.429397e-03,2.812106e-03,1.067119e-01,1.000000e-01
0.000000e+00,6.122449e-01,-1.375675e-03,5.515938e-03,6.891613e-03,1.062861e-01,1.000000e-01
0.000000e+00,6.326531e-01,-1.376837e-03,-1.342605e-03,3.423251e-05,1.060833e-01,1.000000e-01
0.000000e+00,6.530612e-01,-1.381338e-03,4.587170e-03,5.968507e-03,1.060174e-01,1.000000e-01
0.000000e+00,6.734694e-01,-1.382917e-03,-2.136538e-03,7.536211e-04,1.061385e-01,1.000000e-01
0.000000e+00,6.938776e-01,-1.375765e-03,-1.389585e-03,1.382036e-05,1.065675e-01,1.000000e-01
0.000000e+00,7.142857e-01,-1.355231e-03,-1.104082e-02,9.685590e-03,1.069977e-01,1.000000e-01
