t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
2.814071e-01,4.959822e+01,8.910680e+00,5.197807e+01,1.263936e+01,2.029552e-02,2.000000e-02
2.864322e-01,5.233071e+01,8.524017e+00,5.525183e+01,1.280498e+01,2.029552e-02,2.000000e-02
2.914573e-01,5.681564e+01,8.596823e+00,5.866369e+01,1.307654e+01,2.029552e-02,2.000000e-02
2.964824e-01,6.317477e+01,9.743472e+00,6.217834e+01,1.346576e+01,2.029552e-02,2.000000e-02
3.015076e-01,6.773753e+01,9.163233e+00,6.574950e+01,1.398653e+01,2.029552e-02,2.000000e-02
3.065327e-01,7.329849e+01,9.363989e+00,6.931635e+01,1.465461e+01,2.029552e-02,2.000000e-02
3.115578e-01,7.993090e+01,1.015065e+01,7.279990e+01,1.548697e+01,2.029552e-02,2.000000e-02
3.165829e-01,8.523342e+01,1.238732e+01,7.609992e+01,1.650074e+01,2.029552e-02,2.000000e-02
3.216080e-01,9.039136e+01,1.307934e+01,7.909614e+01,1.771175e+01,2.029552e-02,2.000000e-02
3.266332e-01,9.579190e+01,1.410366e+01,8.165376e+01,1.913258e+01,2.029552e-02,2.000000e-02
3.316583e-01,1.017626e+02,1.552214e+01,8.363302e+01,2.077022e+01,2.029552e-02,2.000000e-02
3.366834e-01,1.042332e+02,1.777429e+01,8.489997e+01,2.262356e+01,2.029552e-02,2.000000e-02
3.417086e-01,1.085400e+02,2.132663e+01,8.533595e+01,2.468023e+01,2.029552e-02,2.000000e-02
3.467337e-01,1.106621e+02,2.432855e+01,8.484809e+01,2.691257e+01,2.029552e-02,2.000000e-02
3.517588e-01,1.094975e+02,2.928643e+01,8.338374e+01,2.927275e+01,2.029552e-02,2.000000e-02
3.567840e-01,1.064407e+02,3.351287e+01,8.094913e+01,3.168831e+01,2.029552e-02,2.000000e-02
3.618090e-01,1.015034e+02,3.699988e+01,7.762387e+01,3.406186e+01,2.029552e-02,2.000000e-02
3.668342e-01,9.443098e+01,4.090808e+01,7.356148e+01,3.627919e+01,2.029552e-02,2.000000e-02
3.718593e-01,8.396539e+01,4.529036e+01,6.897287e+01,3.822490e+01,2.029552e-02,2.000000e-02
3.768844e-01,7.579930e+01,4.972865e+01,6.409709e+01,3.980111e+01,2.029552e-02,2.000000e-02
3.819095e-01,6.519958e+01,5.194402e+01,5.916631e+01,4.094104e+01,2.029552e-02,2.000000e-02
3.869347e-01,5.788996e+01,5.404999e+01,5.437489e+01,4.161369e+01,2.029552e-02,2.000000e-02
3.919598e-01,5.093982e+01,5.458482e+01,4.986531e+01,4.182052e+01,2.029552e-02,2.000000e-02
3.969849e-01,4.310217e+01,5.330415e+01,4.573212e+01,4.158857e+01,2.029552e-02,2.000000e-02
4.020101e-01,3.910381e+01,5.268229e+01,4.203362e+01,4.096276e+01,2.029552e-02,2.000000e-02
4.070352e-01,3.161775e+01,4.985567e+01,3.879755e+01,3.999945e+01,2.029552e-02,2.000000e-02
4.120603e-01,2.778367e+01,4.691544e+01,3.602248e+01,3.876135e+01,2.029552e-02,2.000000e-02
4.170854e-01,2.614341e+01,4.620317e+01,3.368332e+01,3.731331e+01,2.029552e-02,2.000000e-02
4.221106e-01,2.403330e+01,4.243716e+01,3.174281e+01,3.571836e+01,2.029552e-02,2.000000e-02
4.271357e-01,2.106954e+01,3.984016e+01,3.016327e+01,3.403476e+01,2.029552e-02,2.000000e-02
4.321608e-01,1.991220e+01,3.750918e+01,2.891203e+01,3.231353e+01,2.029552e-02,2.000000e-02
4.371859e-01,1.735816e+01,3.435651e+01,2.796068e+01,3.059693e+01,2.029552e-02,2.000000e-02
4.422111e-01,1.903063e+01,3.075162e+01,2.728285e+01,2.891829e+01,2.029552e-02,2.000000e-02
4.472362e-01,1.961769e+01,2.925794e+01,2.685294e+01,2.730241e+01,2.029552e-02,2.000000e-02
4.522613e-01,1.571845e+01,2.706875e+01,2.664669e+01,2.576654e+01,2.029552e-02,2.000000e-02
4.572864e-01,1.687990e+01,2.533079e+01,2.664270e+01,2.432188e+01,2.029552e-02,2.000000e-02
4.623116e-01,1.679391e+01,2.276954e+01,2.682360e+01,2.297477e+01,2.029552e-02,2.000000e-02
4.673367e-01,1.714194e+01,2.141154e+01,2.717661e+01,2.172807e+01,2.029552e-02,2.000000e-02
