epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
23,0.1942933201789856,0.04369480907917023,0.005730327684432268,0.41298457980155945,1.4402195120055694e-05,9.523222615825944e-06,3.923917120118858e-06,1.4258008377510123e-05,5.615017016680213e-06,1.0301332622475456e-05,2.193096952396445e-05,9.064269761438482e-06,0.05814109370112419,0.10668424516916275,0.02689063921570778,0.356393963098526,0.0013265528250485659,0.0011617421405389905,2.6984894275665283,,1511
,,,,,,,,,,,,,,,,,,,,0.0009998422525470082,1512
24,0.20068277418613434,0.04412778839468956,0.00617158692330122,0.44614171981811523,2.6026218620245345e-05,1.5665562386857346e-05,3.3627241009526188e-06,2.7358786610420793e-05,8.013774277060293e-06,1.5093971342139412e-05,2.8908629246870987e-05,1.4898851077305153e-05,0.05881206691265106,0.11102075129747391,0.027820296585559845,0.37780073285102844,0.0014530502958223224,0.001437296741642058,2.573599100112915,,1574
,,,,,,,,,,,,,,,,,,,,0.0009998288338252906,1575
25,0.19398988783359528,0.04458237066864967,0.0064818584360182285,0.48205921053886414,3.450719304964878e-05,1.6020685507101007e-05,4.675629952544114e-06,2.1481320800376125e-05,1.2289185178815387e-05,2.110843161062803e-05,3.9868056774139404e-05,1.568742845847737e-05,0.059147514402866364,0.10627800971269608,0.025932487100362778,0.4081098139286041,0.001277354545891285,0.0011888897279277444,2.4546186923980713,,1637
,,,,,,,,,,,,,,,,,,,,0.0009998148675282837,1638
26,0.1872408092021942,0.04532059654593468,0.0072700390592217445,0.514907956123352,4.0098835597746074e-05,1.0534979992371518e-05,7.859666766307782e-06,1.5097611139935907e-05,1.2571902516356204e-05,1.4276480214903131e-05,3.411988291190937e-05,1.4579140042769723e-05,0.058170486241579056,0.10178172588348389,0.02515680342912674,0.4324842095375061,0.000976806622929871,0.0010058332700282335,2.341249704360962,,1700
,,,,,,,,,,,,,,,,,,,,0.000999800353671303,1701
27,0.1861690729856491,0.04671785607933998,0.007684533484280109,0.5464592576026917,4.6932695113355294e-05,1.5523977708653547e-05,1.4548489161825273e-05,1.20220774988411e-05,1.9491159036988392e-05,9.85177575785201e-06,4.670599810197018e-05,8.202534445445053e-06,0.057965584099292755,0.10169463604688644,0.024553831666707993,0.45799288153648376,0.0012534304987639189,0.0005283323698677123,2.2334957122802734,,1763
,,,,,,,,,,,,,,,,,,,,0.0009997852922702648,1764
