x,y,u_pred,u_true,error
3.448276e-02,5.862069e-01,1.041466e-01,1.041781e-01,3.144890e-05
3.448276e-02,6.206896e-01,1.003851e-01,1.004401e-01,5.494803e-05
3.448276e-02,6.551724e-01,9.546009e-02,9.552445e-02,6.435812e-05
3.448276e-02,6.896552e-01,8.942968e-02,8.948892e-02,5.923957e-05
3.448276e-02,7.241379e-01,8.236099e-02,8.240422e-02,4.322827e-05
3.448276e-02,7.586207e-01,7.433257e-02,7.435340e-02,2.082437e-05
3.448276e-02,7.931035e-01,6.543285e-02,6.543083e-02,2.026558e-06
3.448276e-02,8.275862e-01,5.576063e-02,5.574117e-02,1.945719e-05
3.448276e-02,8.620690e-01,4.542623e-02,4.539799e-02,2.823398e-05
3.448276e-02,8.965517e-01,3.455196e-02,3.452257e-02,2.938509e-05
3.448276e-02,9.310345e-01,2.326442e-02,2.324237e-02,2.204441e-05
3.448276e-02,9.655172e-01,1.168475e-02,1.168971e-02,4.952773e-06
3.448276e-02,1.000000e+00,-7.232092e-05,-9.452066e-09,7.231147e-05
6.896552e-02,0.000000e+00,4.057027e-05,0.000000e+00,4.057027e-05
6.896552e-02,3.448276e-02,2.325834e-02,2.324240e-02,1.594238e-05
6.896552e-02,6.896552e-02,4.621259e-02,4.621230e-02,2.942979e-07
6.896552e-02,1.034483e-01,6.863747e-02,6.864039e-02,2.920628e-06
6.896552e-02,1.379310e-01,9.026615e-02,9.026375e-02,2.391636e-06
6.896552e-02,1.724138e-01,1.108389e-01,1.108289e-01,1.007318e-05
6.896552e-02,2.068965e-01,1.301100e-01,1.300946e-01,1.546741e-05
6.896552e-02,2.413793e-01,1.478522e-01,1.478351e-01,1.710653e-05
6.896552e-02,2.758621e-01,1.638572e-01,1.638423e-01,1.488626e-05
6.896552e-02,3.103448e-01,1.779381e-01,1.779287e-01,9.417534e-06
6.896552e-02,3.448276e-01,1.899324e-01,1.899290e-01,3.412366e-06
6.896552e-02,3.793103e-01,1.997037e-01,1.997025e-01,1.177192e-06
6.896552e-02,4.137931e-01,2.071391e-01,2.071348e-01,4.380941e-06
6.896552e-02,4.482759e-01,2.121487e-01,2.121385e-01,1.011789e-05
6.896552e-02,4.827586e-01,2.146673e-01,2.146552e-01,1.206994e-05
6.896552e-02,5.172414e-01,2.146608e-01,2.146552e-01,5.573034e-06
6.896552e-02,5.517241e-01,2.121300e-01,2.121385e-01,8.553267e-06
6.896552e-02,5.862069e-01,2.071098e-01,2.071348e-01,2.500415e-05
6.896552e-02,6.206896e-01,1.996650e-01,1.997025e-01,3.758073e-05
6.896552e-02,6.551724e-01,1.898863e-01,1.899290e-01,4.270673e-05
6.896552e-02,6.896552e-01,1.778890e-01,1.779287e-01,3.965199e-05
6.896552e-02,7.241379e-01,1.638121e-01,1.638423e-01,3.017485e-05
6.896552e-02,7.586207e-01,1.478189e-01,1.478351e-01,1.615286e-05
6.896552e-02,7.931035e-01,1.300939e-01,1.300945e-01,6.556511e-07
6.896552e-02,8.275862e-01,1.108400e-01,1.108288e-01,1.119822e-05
6.896552e-02,8.620690e-01,9.028078e-02,9.026374e-02,1.703948e-05
6.896552e-02,8.965517e-01,6.865699e-02,6.864039e-02,1.659989e-05
6.896552e-02,9.310345e-01,4.622031e-02,4.621225e-02,8.057803e-06
6.896552e-02,9.655172e-01,2.322466e-02,2.324236e-02,1.770258e-05
6.896552e-02,1.000000e+00,-7.547997e-05,-1.879331e-08,7.546118e-05
1.034483e-01,0.000000e+00,1.318194e-05,0.000000e+00,1.318194e-05
1.034483e-01,3.448276e-02,3.453238e-02,3.452257e-02,9.804964e-06
1.034483e-01,6.896552e-02,6.864504e-02,6.864039e-02,4.649162e-06
1.034483e-01,1.034483e-01,1.019574e-01,1.019535e-01,3.993511e-06
1.034483e-01,1.379310e-01,1.340783e-01,1.340712e-01,7.078052e-06
1.034483e-01,1.724138e-01,1.646280e-01,1.646171e-01,1.087785e-05
1.034483e-01,2.068965e-01,1.932457e-01,1.932330e-01,1.268089e-05
1.034483e-01,2.413793e-01,2.195963e-01,2.195835e-01,1.284480e-05
1.034483e-01,2.758621e-01,2.433713e-01,2.433595e-01,1.181662e-05
1.034483e-01,3.103448e-01,2.642916e-01,2.642823e-01,9.298325e-06
1.034483e-01,3.448276e-01,2.821120e-01,2.821068e-01,5.245209e-06
1.034483e-01,3.793103e-01,2.966260e-01,2.966237e-01,2.324581e-06
1.034483e-01,4.137931e-01,3.076649e-01,3.076630e-01,1.966953e-06
1.034483e-01,4.482759e-01,3.150982e-01,3.150952e-01,2.950430e-06
1.034483e-01,4.827586e-01,3.188357e-01,3.188332e-01,2.443790e-06
1.034483e-01,5.172414e-01,3.188309e-01,3.188332e-01,2.294779e-06
1.034483e-01,5.517241e-01,3.150841e-01,3.150952e-01,1.111627e-05
1.034483e-01,5.862069e-01,3.076423e-01,3.076630e-01,2.068281e-05
1.034483e-01,6.206896e-01,2.965959e-01,2.966237e-01,2.780557e-05
1.034483e-01,6.551724e-01,2.820762e-01,2.821067e-01,3.051758e-05
1.034483e-01,6.896552e-01,2.642539e-01,2.642823e-01,2.837181e-05
1.034483e-01,7.241379e-01,2.433375e-01,2.433595e-01,2.196431e-05
1.034483e-01,7.586207e-01,2.195713e-01,2.195835e-01,1.214445e-05
1.034483e-01,7.931035e-01,1.932316e-01,1.932330e-01,1.356006e-06
1.034483e-01,8.275862e-01,1.646246e-01,1.646171e-01,7.480383e-06
1.034483e-01,8.620690e-01,1.340836e-01,1.340712e-01,1.238286e-05
1.034483e-01,8.965517e-01,1.019669e-01,1.019535e-01,1.347065e-05
1.034483e-01,9.310345e-01,6.865034e-02,6.864033e-02,1.001358e-05
1.034483e-01,9.655172e-01,3.451896e-02,3.452252e-02,3.557652e-06
1.034483e-01,1.000000e+00,-3.524683e-05,-2.791423e-08,3.521892e-05
1.379310e-01,0.000000e+00,-6.427988e-06,0.000000e+00,6.427988e-06
1.379310e-01,3.448276e-02,4.540054e-02,4.539800e-02,2.533197e-06
1.379310e-01,6.896552e-02,9.026820e-02,9.026375e-02,4.447997e-06
1.379310e-01,1.034483e-01,1.340777e-01,1.340712e-01,6.482005e-06
1.379310e-01,1.379310e-01,1.763165e-01,1.763069e-01,9.626150e-06
1.379310e-01,1.724138e-01,2.164870e-01,2.164755e-01,1.153350e-05
1.379310e-01,2.068965e-01,2.541175e-01,2.541060e-01,1.150370e-05
1.379310e-01,2.413793e-01,2.887682e-01,2.887575e-01,1.063943e-05
1.379310e-01,2.758621e-01,3.200331e-01,3.200236e-01,9.566545e-06
1.379310e-01,3.103448e-01,3.475453e-01,3.475376e-01,7.688999e-06
