epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
22,0.010329846292734146,0.13466686010360718,0.0092658381909132,0.0006887277704663575,0.00037528140819631517,,1862
,,,,,,0.0005,1863
23,0.010124027729034424,0.1349695920944214,0.009083960205316544,0.0006957855075597763,0.0003442822489887476,,1943
,,,,,,0.0005,1944
24,0.010190719738602638,0.1347096562385559,0.009171750396490097,0.0006824412266723812,0.00033652898855507374,,2024
,,,,,,0.0005,2025
25,0.01010578777641058,0.1349208503961563,0.009076409973204136,0.0006874472019262612,0.0003419297281652689,,2105
,,,,,,0.0005,2106
26,0.010158066637814045,0.1349799782037735,0.009152608923614025,0.0006726913270540535,0.00033276702743023634,,2186
,,,,,,0.0005,2187
27,0.01014045998454094,0.13476014137268066,0.009126504883170128,0.0006768328603357077,0.00033712389995343983,,2267
,,,,,,0.0005,2268
28,0.010130142793059349,0.13469091057777405,0.009122337214648724,0.0006773127824999392,0.0003304898855276406,,2348
,,,,,,0.0005,2349
29,0.0101236030459404,0.13452136516571045,0.009108456782996655,0.0006780789699405432,0.0003370650520082563,,2429
,,,,,,0.0005,2430
30,0.01009864080697298,0.13438907265663147,0.009090651758015156,0.0006749566528014839,0.0003330324834678322,,2510
,,,,,,0.0005,2511
31,0.01010405458509922,0.13419918715953827,0.009088114835321903,0.00067998340819031,0.0003359599213581532,,2591
,,,,,,0.0005,2592
32,0.010082869790494442,0.13366703689098358,0.009064874611794949,0.0006867806660011411,0.0003312154149170965,,2672
,,,,,,0.0005,2673
33,0.010049199685454369,0.1335243135690689,0.009023983031511307,0.0006970507092773914,0.00032816309249028563,,2753
,,,,,,0.0005,2754
34,0.010073798708617687,0.13197007775306702,0.009041917510330677,0.0007154315826483071,0.00031644836417399347,,2834
,,,,,,0.0005,2835
35,0.010045800358057022,0.12975622713565826,0.008877397514879704,0.0007828133529983461,0.0003855843679048121,,2915
,,,,,,0.0005,2916
36,0.010218492709100246,0.12664632499217987,0.008758203126490116,0.0008672057301737368,0.000593083503190428,,2996
,,,,,,0.0005,2997
37,0.01109244953840971,0.12161459028720856,0.008469472639262676,0.0010606975993141532,0.0015622792998328805,,3077
,,,,,,0.0005,3078
38,0.00962771289050579,0.12189176678657532,0.00810164213180542,0.000978083466179669,0.0005479890969581902,,3158
,,,,,,0.0005,3159
39,0.009605427272617817,0.1218167245388031,0.008294475264847279,0.0009503643377684057,0.0003605847305152565,,3239
,,,,,,0.0005,3240
40,0.00949900969862938,0.12027881294488907,0.00815916620194912,0.0009822787251323462,0.0003575645387172699,,3320
,,,,,,0.0005,3321
41,0.009514912962913513,0.11853701621294022,0.008145522326231003,0.0009877493139356375,0.0003816426615230739,,3401
,,,,,,0.0005,3402
42,0.009717447683215141,0.11424700170755386,0.008079306222498417,0.0011175944237038493,0.0005205431370995939,,3482
,,,,,,0.0005,3483
43,0.009334283880889416,0.11105310171842575,0.007578142918646336,0.001200184691697359,0.0005559512646868825,,3563
,,,,,,0.0005,3564
44,0.009754840284585953,0.10867134481668472,0.007495673839002848,0.0013076390605419874,0.0009515296551398933,,3644
,,,,,,0.0005,3645
45,0.00918210856616497,0.10352839529514313,0.00691564567387104,0.0015155264409258962,0.0007509358110837638,,3725
,,,,,,0.0005,3726
46,0.008893110789358616,0.10993999987840652,0.007001663092523813,0.0013246749294921756,0.0005667735822498798,,3806
,,,,,,0.0005,3807
47,0.008845065720379353,0.11582240462303162,0.007039954885840416,0.001247028703801334,0.0005580808501690626,,3887
,,,,,,0.0005,3888
48,0.008495527319610119,0.11904454231262207,0.006856820080429316,0.0011088737519457936,0.0005298354662954807,,3968
,,,,,,0.0005,3969
49,0.008461608551442623,0.11434819549322128,0.006428958382457495,0.0011265772627666593,0.0009060730808414519,,4049
,,,,,,0.0005,4050
50,0.007290410343557596,0.10626170784235,0.005567303858697414,0.0010351568926125765,0.0006879459833726287,,4130
,,,,,,0.0005,4131
51,0.00723433680832386,0.10056637972593307,0.0050451080314815044,0.0010730749927461147,0.0011161529691889882,,4211
,,,,,,0.0005,4212
52,0.006528872065246105,0.09822547435760498,0.004704038612544537,0.0008938399259932339,0.0009309924789704382,,4292
,,,,,,0.0005,4293
53,0.0062591759487986565,0.1003962978720665,0.004801755305379629,0.0006680597434751689,0.0007893603178672493,,4373
,,,,,,0.0005,4374
54,0.006257456261664629,0.09899485111236572,0.0047167520970106125,0.0007107181008905172,0.0008299857145175338,,4454
,,,,,,0.0005,4455
55,0.00592729402706027,0.09629274159669876,0.004501085728406906,0.0006302680121734738,0.000795940519310534,,4535
,,,,,,0.0005,4536
56,0.005678117275238037,0.09326902776956558,0.004334862809628248,0.0005716822342947125,0.0007715722895227373,,4616
,,,,,,0.0005,4617
57,0.005189721472561359,0.08919080346822739,0.004013855010271072,0.0005728671094402671,0.00060300063341856,,4697
,,,,,,0.0005,4698
58,0.005201387219130993,0.08669561892747879,0.0038340333849191666,0.0005317968316376209,0.0008355570025742054,,4778
