x,y,t,u_pred,u_true,v_pred,v_true
0.000000e+00,2.105263e-01,1.000000e+00,9.997201e-01,1.010117e+00,9.367438e-04,-6.021479e-03
0.000000e+00,2.631579e-01,0.000000e+00,9.996991e-01,1.018393e+00,9.347470e-04,-7.626620e-03
0.000000e+00,2.631579e-01,1.111111e-01,9.997023e-01,1.000334e+00,9.362670e-04,1.819381e-02
0.000000e+00,2.631579e-01,2.222222e-01,9.996635e-01,9.923085e-01,9.372504e-04,-1.096338e-02
0.000000e+00,2.631579e-01,3.333333e-01,9.996641e-01,9.996522e-01,9.373100e-04,2.043919e-02
0.000000e+00,2.631579e-01,4.444444e-01,9.996692e-01,9.963068e-01,9.372504e-04,2.360877e-03
0.000000e+00,2.631579e-01,5.555556e-01,9.996843e-01,9.976023e-01,9.373697e-04,8.292828e-03
0.000000e+00,2.631579e-01,6.666667e-01,9.997030e-01,1.012797e+00,9.372802e-04,2.069036e-02
0.000000e+00,2.631579e-01,7.777778e-01,9.997110e-01,9.833061e-01,9.372504e-04,5.556379e-03
0.000000e+00,2.631579e-01,8.888889e-01,9.997224e-01,1.005247e+00,9.369226e-04,2.962596e-03
0.000000e+00,2.631579e-01,1.000000e+00,9.997236e-01,9.957092e-01,9.367140e-04,1.687659e-02
0.000000e+00,3.157895e-01,0.000000e+00,9.997156e-01,1.008087e+00,9.369226e-04,4.357600e-03
0.000000e+00,3.157895e-01,1.111111e-01,9.997123e-01,9.880744e-01,9.365054e-04,5.350261e-03
0.000000e+00,3.157895e-01,2.222222e-01,9.996675e-01,9.817942e-01,9.373100e-04,-5.071644e-03
0.000000e+00,3.157895e-01,3.333333e-01,9.996659e-01,1.009157e+00,9.373398e-04,-2.434622e-02
0.000000e+00,3.157895e-01,4.444444e-01,9.996727e-01,1.024246e+00,9.373697e-04,-9.673730e-03
0.000000e+00,3.157895e-01,5.555556e-01,9.996876e-01,1.003607e+00,9.373398e-04,-9.727682e-03
0.000000e+00,3.157895e-01,6.666667e-01,9.997047e-01,1.007096e+00,9.372206e-04,1.473247e-02
0.000000e+00,3.157895e-01,7.777778e-01,9.997144e-01,9.965075e-01,9.372206e-04,7.962211e-03
0.000000e+00,3.157895e-01,8.888889e-01,9.997245e-01,1.009986e+00,9.369822e-04,-1.138128e-02
0.000000e+00,3.157895e-01,1.000000e+00,9.997253e-01,1.015921e+00,9.368630e-04,-2.044168e-02
0.000000e+00,3.684210e-01,0.000000e+00,9.997355e-01,9.973278e-01,9.379657e-04,-8.008310e-03
0.000000e+00,3.684210e-01,1.111111e-01,9.997183e-01,9.950734e-01,9.368928e-04,2.763734e-03
0.000000e+00,3.684210e-01,2.222222e-01,9.996731e-01,9.937497e-01,9.374293e-04,3.604692e-03
0.000000e+00,3.684210e-01,3.333333e-01,9.996684e-01,9.982519e-01,9.374889e-04,1.126668e-02
0.000000e+00,3.684210e-01,4.444444e-01,9.996763e-01,9.962451e-01,9.373697e-04,3.098461e-03
0.000000e+00,3.684210e-01,5.555556e-01,9.996894e-01,9.851621e-01,9.373100e-04,1.211101e-02
0.000000e+00,3.684210e-01,6.666667e-01,9.997054e-01,9.959526e-01,9.372504e-04,3.291033e-03
0.000000e+00,3.684210e-01,7.777778e-01,9.997157e-01,9.987010e-01,9.372504e-04,-1.043117e-02
0.000000e+00,3.684210e-01,8.888889e-01,9.997252e-01,1.004578e+00,9.371908e-04,-1.880354e-02
0.000000e+00,3.684210e-01,1.000000e+00,9.997261e-01,1.002225e+00,9.369226e-04,-1.740157e-02
0.000000e+00,4.210526e-01,0.000000e+00,9.997666e-01,9.866008e-01,9.520920e-04,-1.203236e-02
0.000000e+00,4.210526e-01,1.111111e-01,9.997214e-01,9.946558e-01,9.373100e-04,1.300694e-02
0.000000e+00,4.210526e-01,2.222222e-01,9.996780e-01,1.003233e+00,9.373995e-04,-6.512220e-03
0.000000e+00,4.210526e-01,3.333333e-01,9.996707e-01,9.980273e-01,9.373995e-04,-3.390490e-02
0.000000e+00,4.210526e-01,4.444444e-01,9.996791e-01,1.005861e+00,9.375187e-04,1.469424e-02
0.000000e+00,4.210526e-01,5.555556e-01,9.996902e-01,9.863412e-01,9.373995e-04,2.400923e-03
0.000000e+00,4.210526e-01,6.666667e-01,9.997050e-01,1.007088e+00,9.373398e-04,-7.584680e-03
0.000000e+00,4.210526e-01,7.777778e-01,9.997146e-01,1.005043e+00,9.372802e-04,1.409008e-02
0.000000e+00,4.210526e-01,8.888889e-01,9.997257e-01,1.005248e+00,9.374889e-04,-8.036516e-03
0.000000e+00,4.210526e-01,1.000000e+00,9.997267e-01,1.004835e+00,9.373697e-04,1.726964e-03
0.000000e+00,4.736842e-01,0.000000e+00,9.997977e-01,9.858245e-01,1.012919e-03,-2.967709e-03
0.000000e+00,4.736842e-01,1.111111e-01,9.997245e-01,9.777543e-01,9.380849e-04,1.539962e-04
0.000000e+00,4.736842e-01,2.222222e-01,9.996802e-01,1.000931e+00,9.375187e-04,-1.102430e-02
0.000000e+00,4.736842e-01,3.333333e-01,9.996719e-01,1.008858e+00,9.375187e-04,-1.846229e-04
0.000000e+00,4.736842e-01,4.444444e-01,9.996803e-01,9.983752e-01,9.374591e-04,-1.050142e-03
0.000000e+00,4.736842e-01,5.555556e-01,9.996902e-01,9.897594e-01,9.374591e-04,-8.223973e-03
0.000000e+00,4.736842e-01,6.666667e-01,9.997002e-01,1.016202e+00,9.374293e-04,-1.478051e-02
0.000000e+00,4.736842e-01,7.777778e-01,9.997132e-01,1.007846e+00,9.375485e-04,-2.802079e-02
0.000000e+00,4.736842e-01,8.888889e-01,9.997256e-01,1.003544e+00,9.376379e-04,1.779681e-02
0.000000e+00,4.736842e-01,1.000000e+00,9.997272e-01,1.009726e+00,9.376379e-04,-9.614348e-03
0.000000e+00,5.263158e-01,0.000000e+00,9.997944e-01,9.998104e-01,1.025525e-03,-6.279344e-04
0.000000e+00,5.263158e-01,1.111111e-01,9.997248e-01,1.000474e+00,9.411247e-04,6.656761e-03
0.000000e+00,5.263158e-01,2.222222e-01,9.996789e-01,1.012540e+00,9.380551e-04,2.365925e-03
0.000000e+00,5.263158e-01,3.333333e-01,9.996713e-01,9.833679e-01,9.376975e-04,7.318249e-03
0.000000e+00,5.263158e-01,4.444444e-01,9.996797e-01,9.937662e-01,9.375485e-04,5.658603e-03
0.000000e+00,5.263158e-01,5.555556e-01,9.996893e-01,9.988225e-01,9.375783e-04,-3.779775e-03
0.000000e+00,5.263158e-01,6.666667e-01,9.996923e-01,9.979077e-01,9.375187e-04,1.363115e-02
0.000000e+00,5.263158e-01,7.777778e-01,9.997112e-01,1.001490e+00,9.380253e-04,1.565240e-02
0.000000e+00,5.263158e-01,8.888889e-01,9.997241e-01,1.015973e+00,9.382935e-04,1.626342e-02
0.000000e+00,5.263158e-01,1.000000e+00,9.997268e-01,9.994780e-01,9.380253e-04,-8.799718e-03
0.000000e+00,5.789474e-01,0.000000e+00,9.997764e-01,1.012328e+00,1.023349e-03,-8.925438e-03
0.000000e+00,5.789474e-01,1.111111e-01,9.997215e-01,9.969678e-01,9.454461e-04,5.262281e-03
0.000000e+00,5.789474e-01,2.222222e-01,9.996744e-01,1.003839e+00,9.387704e-04,-4.855940e-03
0.000000e+00,5.789474e-01,3.333333e-01,9.996693e-01,9.954408e-01,9.379657e-04,7.681114e-04
0.000000e+00,5.789474e-01,4.444444e-01,9.996773e-01,1.013712e+00,9.378763e-04,-9.602839e-03
0.000000e+00,5.789474e-01,5.555556e-01,9.996868e-01,9.967641e-01,9.379657e-04,-1.984634e-02
0.000000e+00,5.789474e-01,6.666667e-01,9.996906e-01,9.923605e-01,9.379657e-04,8.929117e-03
0.000000e+00,5.789474e-01,7.777778e-01,9.997078e-01,1.006814e+00,9.385021e-04,2.023605e-02
0.000000e+00,5.789474e-01,8.888889e-01,9.997188e-01,9.950435e-01,9.388002e-04,7.162751e-03
0.000000e+00,5.789474e-01,1.000000e+00,9.997222e-01,1.015809e+00,9.388598e-04,-3.857640e-03
0.000000e+00,6.315789e-01,0.000000e+00,9.997807e-01,1.000695e+00,9.765299e-04,1.641690e-02
0.000000e+00,6.315789e-01,1.111111e-01,9.997126e-01,9.890217e-01,9.533437e-04,-4.641959e-03
0.000000e+00,6.315789e-01,2.222222e-01,9.996687e-01,1.001253e+00,9.398432e-04,-8.082456e-03
0.000000e+00,6.315789e-01,3.333333e-01,9.996668e-01,9.973760e-01,9.383233e-04,-6.158581e-03
0.000000e+00,6.315789e-01,4.444444e-01,9.996737e-01,9.887406e-01,9.381743e-04,-7.158107e-03
