x,t,u_pred,u_true,error,D_pred,D_true
3.061225e-01,8.163266e-01,3.392614e-01,3.301568e-01,9.104580e-03,1.336904e-01,1.469234e-01
3.061225e-01,8.367347e-01,3.327158e-01,3.456989e-01,1.298311e-02,1.324991e-01,1.469234e-01
3.061225e-01,8.571429e-01,3.262860e-01,3.495500e-01,2.326402e-02,1.307282e-01,1.469234e-01
3.061225e-01,8.775510e-01,3.199704e-01,3.262878e-01,6.317466e-03,1.285642e-01,1.469234e-01
3.061225e-01,8.979592e-01,3.137718e-01,3.051105e-01,8.661270e-03,1.260163e-01,1.469234e-01
3.061225e-01,9.183673e-01,3.076983e-01,3.194465e-01,1.174819e-02,1.230513e-01,1.469234e-01
3.061225e-01,9.387755e-01,3.017632e-01,3.058734e-01,4.110187e-03,1.195911e-01,1.469234e-01
3.061225e-01,9.591837e-01,2.959853e-01,2.887077e-01,7.277578e-03,1.156552e-01,1.469234e-01
3.061225e-01,9.795918e-01,2.903876e-01,3.039671e-01,1.357949e-02,1.116095e-01,1.469234e-01
3.061225e-01,1.000000e+00,2.849968e-01,2.964323e-01,1.143545e-02,1.077100e-01,1.469234e-01
3.265306e-01,0.000000e+00,8.546997e-01,8.590125e-01,4.312754e-03,1.300669e-01,1.443300e-01
3.265306e-01,2.040816e-02,8.276125e-01,8.283077e-01,6.952882e-04,1.397713e-01,1.443300e-01
3.265306e-01,4.081633e-02,8.038752e-01,8.012065e-01,2.668679e-03,1.428946e-01,1.443300e-01
3.265306e-01,6.122449e-02,7.823851e-01,7.922464e-01,9.861290e-03,1.427586e-01,1.443300e-01
3.265306e-01,8.163265e-02,7.624060e-01,7.728767e-01,1.047075e-02,1.416040e-01,1.443300e-01
3.265306e-01,1.020408e-01,7.435567e-01,7.484536e-01,4.896939e-03,1.406084e-01,1.443300e-01
3.265306e-01,1.224490e-01,7.256505e-01,7.262447e-01,5.942583e-04,1.398126e-01,1.443300e-01
3.265306e-01,1.428571e-01,7.085712e-01,7.018531e-01,6.718099e-03,1.390554e-01,1.443300e-01
3.265306e-01,1.632653e-01,6.922171e-01,6.832380e-01,8.979142e-03,1.381710e-01,1.443300e-01
3.265306e-01,1.836735e-01,6.764916e-01,6.901466e-01,1.365501e-02,1.370155e-01,1.443300e-01
3.265306e-01,2.040816e-01,6.613114e-01,6.577588e-01,3.552616e-03,1.355335e-01,1.443300e-01
3.265306e-01,2.244898e-01,6.466144e-01,6.670299e-01,2.041548e-02,1.340308e-01,1.443300e-01
3.265306e-01,2.448980e-01,6.323618e-01,6.380896e-01,5.727828e-03,1.330563e-01,1.443300e-01
3.265306e-01,2.653061e-01,6.185310e-01,6.121699e-01,6.361187e-03,1.326306e-01,1.443300e-01
3.265306e-01,2.857143e-01,6.051083e-01,6.240510e-01,1.894265e-02,1.326623e-01,1.443300e-01
3.265306e-01,3.061225e-01,5.920787e-01,5.986192e-01,6.540537e-03,1.330504e-01,1.443300e-01
3.265306e-01,3.265306e-01,5.794221e-01,5.955781e-01,1.615596e-02,1.336087e-01,1.443300e-01
3.265306e-01,3.469388e-01,5.671114e-01,5.799270e-01,1.281554e-02,1.341965e-01,1.443300e-01
3.265306e-01,3.673469e-01,5.551154e-01,5.597076e-01,4.592180e-03,1.347537e-01,1.443300e-01
3.265306e-01,3.877551e-01,5.434034e-01,5.545596e-01,1.115626e-02,1.352602e-01,1.443300e-01
3.265306e-01,4.081632e-01,5.319512e-01,5.358415e-01,3.890216e-03,1.356818e-01,1.443300e-01
3.265306e-01,4.285714e-01,5.207449e-01,5.154740e-01,5.270898e-03,1.359563e-01,1.443300e-01
3.265306e-01,4.489796e-01,5.097833e-01,5.182703e-01,8.487046e-03,1.360246e-01,1.443300e-01
3.265306e-01,4.693877e-01,4.990757e-01,5.107942e-01,1.171845e-02,1.358706e-01,1.443300e-01
3.265306e-01,4.897959e-01,4.886397e-01,4.943078e-01,5.668104e-03,1.355186e-01,1.443300e-01
3.265306e-01,5.102041e-01,4.784943e-01,4.875465e-01,9.052247e-03,1.350004e-01,1.443300e-01
3.265306e-01,5.306122e-01,4.686545e-01,4.643293e-01,4.325181e-03,1.343298e-01,1.443300e-01
