t,I_observed,I_pred,Rt_pred,Rt_true
5.714286e-01,0.000000e+00,1.441741e+04,1.303879e+00,8.194980e-01
5.798320e-01,6.618000e+03,1.555536e+04,1.454713e+00,9.249670e-01
5.882353e-01,1.423300e+04,1.721769e+04,1.561085e+00,1.045019e+00
5.966387e-01,9.386000e+03,1.939874e+04,1.628461e+00,1.178569e+00
6.050420e-01,3.788400e+04,2.210584e+04,1.667588e+00,1.322971e+00
6.134454e-01,1.051400e+04,2.535378e+04,1.687619e+00,1.473607e+00
6.218488e-01,1.967100e+04,2.915894e+04,1.694421e+00,1.623633e+00
6.302521e-01,1.148000e+04,3.353661e+04,1.691015e+00,1.764029e+00
6.386555e-01,6.314400e+04,3.849668e+04,1.678333e+00,1.884099e+00
6.470588e-01,4.071100e+04,4.403111e+04,1.655737e+00,1.972510e+00
6.554622e-01,4.489500e+04,5.008616e+04,1.621396e+00,2.018816e+00
6.638656e-01,6.853400e+04,5.651855e+04,1.572747e+00,2.015245e+00
6.722689e-01,6.970700e+04,6.305611e+04,1.507377e+00,1.958341e+00
6.806723e-01,6.797300e+04,6.929709e+04,1.424479e+00,1.850019e+00
6.890756e-01,6.339100e+04,7.476477e+04,1.326331e+00,1.697631e+00
6.974790e-01,6.210500e+04,7.900222e+04,1.218512e+00,1.512947e+00
7.058824e-01,9.530000e+04,8.166286e+04,1.107941e+00,1.310244e+00
7.142857e-01,8.886600e+04,8.256463e+04,1.000086e+00,1.104021e+00
7.226891e-01,8.307300e+04,8.170483e+04,8.978362e-01,9.069020e-01
7.310925e-01,1.012700e+05,7.924420e+04,8.028016e-01,7.282210e-01
7.394958e-01,1.009280e+05,7.547095e+04,7.172646e-01,5.734870e-01
7.478992e-01,5.715700e+04,7.074923e+04,6.444637e-01,4.446440e-01
7.563025e-01,5.971300e+04,6.546093e+04,5.868899e-01,3.408630e-01
7.647059e-01,6.043100e+04,5.995290e+04,5.446969e-01,2.595240e-01
7.731093e-01,5.325600e+04,5.450184e+04,5.158429e-01,1.971410e-01
7.815126e-01,5.483400e+04,4.930020e+04,4.973382e-01,1.500540e-01
7.899160e-01,4.792300e+04,4.446176e+04,4.863268e-01,1.148790e-01
7.983193e-01,4.508500e+04,4.003739e+04,4.805624e-01,8.872300e-02
8.067227e-01,3.399100e+04,3.603501e+04,4.784526e-01,6.924200e-02
8.151261e-01,1.344000e+04,3.243695e+04,4.789339e-01,5.460200e-02
8.235294e-01,2.783800e+04,2.921243e+04,4.813194e-01,4.339800e-02
8.319328e-01,8.108000e+03,2.632657e+04,4.851755e-01,3.456400e-02
8.403361e-01,0.000000e+00,2.374486e+04,4.902314e-01,2.729300e-02
8.487395e-01,1.740400e+04,2.143538e+04,4.963180e-01,2.098300e-02
8.571429e-01,2.414600e+04,1.936997e+04,5.033275e-01,1.521800e-02
8.655462e-01,1.101100e+04,1.752335e+04,5.111849e-01,9.812000e-03
8.739496e-01,1.857200e+04,1.587338e+04,5.198298e-01,4.912000e-03
8.823529e-01,1.728100e+04,1.440060e+04,5.292035e-01,1.190000e-03
8.907563e-01,1.545000e+03,1.308721e+04,5.392403e-01,9.200000e-05
8.991597e-01,4.274000e+03,1.191735e+04,5.498641e-01,4.046000e-03
9.075630e-01,2.186900e+04,1.087642e+04,5.609857e-01,1.644300e-02
9.159664e-01,0.000000e+00,9.951147e+03,5.725060e-01,4.110300e-02
9.243698e-01,3.039000e+03,9.129565e+03,5.843189e-01,8.104100e-02
9.327731e-01,0.000000e+00,8.400345e+03,5.963166e-01,1.366900e-01
9.411765e-01,4.896000e+03,7.753633e+03,6.083953e-01,2.043030e-01
9.495798e-01,0.000000e+00,7.180125e+03,6.204596e-01,2.756170e-01
9.579832e-01,1.858900e+04,6.671772e+03,6.324274e-01,3.395710e-01
9.663866e-01,0.000000e+00,6.220977e+03,6.442301e-01,3.856980e-01
9.747899e-01,0.000000e+00,5.821062e+03,6.558159e-01,4.076380e-01
9.831933e-01,9.532000e+03,5.466276e+03,6.671464e-01,4.049540e-01
9.915966e-01,0.000000e+00,5.151333e+03,6.781971e-01,3.824710e-01
1.000000e+00,1.028000e+03,4.871405e+03,6.889545e-01,3.478640e-01
