x,y,t,u_pred,u_true,v_pred,v_true
0.000000e+00,0.000000e+00,0.000000e+00,9.999730e-01,1.000000e+00,-1.371396e-04,0.000000e+00
0.000000e+00,0.000000e+00,1.111111e-01,9.999792e-01,1.000000e+00,-9.881379e-05,9.818502e-57
0.000000e+00,0.000000e+00,2.222222e-01,9.999805e-01,1.000000e+00,-5.860347e-06,4.865611e-44
0.000000e+00,0.000000e+00,3.333333e-01,9.999842e-01,1.000000e+00,-8.304138e-06,2.403612e-37
0.000000e+00,0.000000e+00,4.444444e-01,9.999864e-01,1.000000e+00,-1.006247e-05,1.809884e-33
0.000000e+00,0.000000e+00,5.555556e-01,9.999860e-01,1.000000e+00,-1.462223e-05,8.662757e-31
0.000000e+00,0.000000e+00,6.666667e-01,9.999861e-01,1.000000e+00,-1.542689e-05,6.241468e-29
0.000000e+00,0.000000e+00,7.777778e-01,9.999908e-01,1.000000e+00,-1.366856e-05,1.305401e-27
0.000000e+00,0.000000e+00,8.888889e-01,9.999822e-01,1.000000e+00,-1.298310e-05,1.213836e-26
0.000000e+00,0.000000e+00,1.000000e+00,9.999809e-01,1.000000e+00,-1.301290e-05,6.305341e-26
0.000000e+00,5.263158e-02,0.000000e+00,9.999743e-01,1.000000e+00,-1.303745e-04,0.000000e+00
0.000000e+00,5.263158e-02,1.111111e-01,9.999781e-01,1.000000e+00,-9.881379e-05,2.576444e-51
0.000000e+00,5.263158e-02,2.222222e-01,9.999817e-01,1.000000e+00,-6.098766e-06,5.804885e-40
0.000000e+00,5.263158e-02,3.333333e-01,9.999852e-01,1.000000e+00,-8.333940e-06,5.349318e-34
0.000000e+00,5.263158e-02,4.444444e-01,9.999872e-01,1.000000e+00,-1.039030e-05,1.505572e-30
0.000000e+00,5.263158e-02,5.555556e-01,9.999867e-01,1.000000e+00,-1.474144e-05,3.290464e-28
0.000000e+00,5.263158e-02,6.666667e-01,9.999889e-01,1.000000e+00,-1.560571e-05,1.306641e-26
0.000000e+00,5.263158e-02,7.777778e-01,9.999949e-01,1.000000e+00,-1.363875e-05,1.724075e-25
0.000000e+00,5.263158e-02,8.888889e-01,9.999822e-01,1.000000e+00,-1.295330e-05,1.126665e-24
0.000000e+00,5.263158e-02,1.000000e+00,9.999813e-01,1.000000e+00,-1.298310e-05,4.566832e-24
0.000000e+00,1.052632e-01,0.000000e+00,9.999707e-01,1.000000e+00,-1.228345e-04,0.000000e+00
0.000000e+00,1.052632e-01,1.111111e-01,9.999786e-01,1.000000e+00,-9.872438e-05,8.511280e-47
0.000000e+00,1.052632e-01,2.222222e-01,9.999834e-01,1.000000e+00,-6.098766e-06,1.606796e-36
0.000000e+00,1.052632e-01,3.333333e-01,9.999874e-01,1.000000e+00,-8.304138e-06,4.053865e-31
0.000000e+00,1.052632e-01,4.444444e-01,9.999893e-01,1.000000e+00,-1.071813e-05,5.189692e-28
0.000000e+00,1.052632e-01,5.555556e-01,9.999886e-01,1.000000e+00,-1.468183e-05,6.082366e-26
0.000000e+00,1.052632e-01,6.666667e-01,9.999923e-01,1.000000e+00,-1.557590e-05,1.508713e-24
