epoch,loss,loss/bc_bottom,loss/bc_left,loss/bc_right,loss/bc_top,loss/pde_residual,lr,step
30,0.02105422504246235,0.0011368938721716404,0.0011911068577319384,0.0012257063062861562,0.0011918845120817423,0.01630864106118679,,13949
,,,,,,,0.001,13950
31,0.02051236666738987,0.0007295733666978776,0.0007867908570915461,0.000786505697760731,0.0007477502804249525,0.017461737617850304,,14399
,,,,,,,0.001,14400
32,0.017476528882980347,0.0007759437430649996,0.0008549911435693502,0.0008338656043633819,0.0008314680308103561,0.014180262573063374,,14849
,,,,,,,0.001,14850
33,0.0259520523250103,0.0014503466663882136,0.001478930818848312,0.0015178830362856388,0.00148578395601362,0.02001909725368023,,15299
,,,,,,,0.001,15300
34,0.020666101947426796,0.0011631309753283858,0.0012460042489692569,0.001251930370926857,0.0012370569165796041,0.01576796919107437,,15749
,,,,,,,0.001,15750
35,0.020949194207787514,0.001224298495799303,0.0012979324674233794,0.0012753133196383715,0.0012800528202205896,0.01587161421775818,,16199
,,,,,,,0.001,16200
36,0.020137907937169075,0.0011796319158747792,0.0012357487576082349,0.0012365176808089018,0.0012283625546842813,0.015257648192346096,,16649
,,,,,,,0.001,16650
37,0.017442870885133743,0.0008150702924467623,0.0008522921707481146,0.0008598347776569426,0.0008437811629846692,0.014071895740926266,,17099
,,,,,,,0.001,17100
38,0.016036253422498703,0.000675666204188019,0.0007414271822199225,0.0007252735085785389,0.000696106581017375,0.01319778524339199,,17549
,,,,,,,0.001,17550
39,0.01851380430161953,0.0014049765886738896,0.0014808628475293517,0.0015043385792523623,0.001471522729843855,0.012652097269892693,,17999
,,,,,,,0.001,18000
40,0.017832310870289803,0.0007907578838057816,0.0008705827058292925,0.0008505908772349358,0.0008208504877984524,0.014499528333544731,,18449
,,,,,,,0.001,18450
41,0.021209850907325745,0.00107590074185282,0.0011274993885308504,0.0011249176459386945,0.0011339150369167328,0.016747621819376945,,18899
,,,,,,,0.001,18900
42,0.015431619249284267,0.0006407464970834553,0.0006761802942492068,0.0006836802349425852,0.000674861716106534,0.012756157666444778,,19349
,,,,,,,0.001,19350
43,0.02191532775759697,0.0011454265331849456,0.0012155980803072453,0.0012084603076800704,0.0012109646340832114,0.017134882509708405,,19799
,,,,,,,0.001,19800
44,0.01809496432542801,0.000987578765489161,0.001034825574606657,0.001043778727762401,0.0010371527168899775,0.013991627842187881,,20249
,,,,,,,0.001,20250
45,0.01622895710170269,0.0006622701766900718,0.000687195104546845,0.0006825962336733937,0.0006870673387311399,0.013509811833500862,,20699
,,,,,,,0.001,20700
46,0.01829555258154869,0.0011296370066702366,0.001180959865450859,0.00120030646212399,0.001191838993690908,0.01359280664473772,,21149
,,,,,,,0.001,21150
47,0.022553015500307083,0.0008929715841077268,0.0009336592047475278,0.0009447404299862683,0.000956379750277847,0.018825264647603035,,21599
,,,,,,,0.001,21600
48,0.01274039689451456,0.0006823906442150474,0.0007247308967635036,0.0007218234823085368,0.0007104420801624656,0.009901001118123531,,22049
,,,,,,,0.001,22050
49,0.017821356654167175,0.000876830832567066,0.0009286246495321393,0.000928802415728569,0.0009398484835401177,0.01414723601192236,,22499
,,,,,,,0.001,22500
50,0.01511553768068552,0.0009349982137791812,0.0010061401408165693,0.0010148471919819713,0.001005883445031941,0.011153667233884335,,22949
,,,,,,,0.001,22950
51,0.01381197851151228,0.0007124521071091294,0.0007563687977381051,0.000755506509449333,0.0007705687894485891,0.010817076079547405,,23399
,,,,,,,0.001,23400
52,0.0184339452534914,0.0010975764598697424,0.0011433586478233337,0.0011586296604946256,0.001185762695968151,0.013848613947629929,,23849
,,,,,,,0.001,23850
53,0.01377894263714552,0.0005022679106332362,0.0005496212979778647,0.0005400225636549294,0.0005605504848062992,0.011626489460468292,,24299
,,,,,,,0.001,24300
