x,t,u_pred,u_true,error
0.000000e+00,0.000000e+00,-2.233088e-04,3.261590e-03,3.484898e-03
0.000000e+00,2.040816e-02,-1.975000e-04,3.712167e-02,3.731917e-02
0.000000e+00,4.081633e-02,-1.517236e-04,9.509702e-03,9.661426e-03
0.000000e+00,6.122449e-02,-1.052916e-04,-2.998982e-03,2.893690e-03
0.000000e+00,8.163265e-02,-7.140636e-05,-5.270187e-03,5.198781e-03
0.000000e+00,1.020408e-01,-5.540252e-05,-1.741029e-02,1.735489e-02
0.000000e+00,1.224490e-01,-5.561113e-05,-3.109501e-03,3.053890e-03
0.000000e+00,1.428571e-01,-6.556511e-05,7.500292e-03,7.565857e-03
0.000000e+00,1.632653e-01,-7.688999e-05,-1.712335e-02,1.704646e-02
0.000000e+00,1.836735e-01,-8.195639e-05,-4.447741e-03,4.365785e-03
0.000000e+00,2.040816e-01,-7.531047e-05,6.413309e-03,6.488619e-03
0.000000e+00,2.244898e-01,-5.435944e-05,-1.136387e-02,1.130951e-02
0.000000e+00,2.448980e-01,-1.946092e-05,5.825537e-03,5.844998e-03
0.000000e+00,2.653061e-01,2.664328e-05,-7.347994e-03,7.374638e-03
0.000000e+00,2.857143e-01,7.992983e-05,1.989825e-02,1.981832e-02
0.000000e+00,3.061225e-01,1.357794e-04,-2.158204e-02,2.171782e-02
0.000000e+00,3.265306e-01,1.899898e-04,-7.776574e-03,7.966563e-03
0.000000e+00,3.469388e-01,2.390146e-04,-5.959930e-03,6.198945e-03
0.000000e+00,3.673469e-01,2.803504e-04,1.319650e-02,1.291615e-02
0.000000e+00,3.877551e-01,3.125966e-04,3.402164e-03,3.089567e-03
0.000000e+00,4.081632e-01,3.350079e-04,-5.171351e-03,5.506359e-03
0.000000e+00,4.285714e-01,3.476739e-04,-2.772870e-02,2.807637e-02
0.000000e+00,4.489796e-01,3.513992e-04,9.817472e-03,9.466073e-03
0.000000e+00,4.693877e-01,3.473461e-04,1.864535e-02,1.829800e-02
0.000000e+00,4.897959e-01,3.369153e-04,5.461949e-03,5.125034e-03
0.000000e+00,5.102041e-01,3.220737e-04,-2.184610e-02,2.216817e-02
0.000000e+00,5.306122e-01,3.048778e-04,4.080694e-03,3.775816e-03
0.000000e+00,5.510204e-01,2.872348e-04,1.844117e-03,1.556882e-03
0.000000e+00,5.714286e-01,2.715290e-04,-1.238165e-02,1.265318e-02
0.000000e+00,5.918368e-01,2.595186e-04,-8.994757e-03,9.254276e-03
0.000000e+00,6.122449e-01,2.529919e-04,5.620616e-03,5.367625e-03
0.000000e+00,6.326531e-01,2.530217e-04,1.352908e-02,1.327606e-02
0.000000e+00,6.530612e-01,2.602339e-04,-7.687757e-03,7.947991e-03
0.000000e+00,6.734694e-01,2.742410e-04,1.142356e-02,1.114932e-02
0.000000e+00,6.938776e-01,2.942085e-04,4.628774e-04,1.686689e-04
0.000000e+00,7.142857e-01,3.186762e-04,-1.287476e-02,1.319344e-02
0.000000e+00,7.346939e-01,3.456771e-04,6.901889e-03,6.556212e-03
0.000000e+00,7.551020e-01,3.732145e-04,2.459510e-03,2.086295e-03
0.000000e+00,7.755102e-01,3.994107e-04,1.359695e-02,1.319753e-02
0.000000e+00,7.959183e-01,4.229248e-04,6.892891e-03,6.469966e-03
0.000000e+00,8.163266e-01,4.429221e-04,1.082598e-02,1.038306e-02
0.000000e+00,8.367347e-01,4.587471e-04,-1.475499e-02,1.521373e-02
0.000000e+00,8.571429e-01,4.701018e-04,5.934816e-03,5.464714e-03
0.000000e+00,8.775510e-01,4.757941e-04,9.079395e-03,8.603601e-03
0.000000e+00,8.979592e-01,4.742742e-04,-7.109753e-03,7.584027e-03
0.000000e+00,9.183673e-01,4.618466e-04,1.206560e-02,1.160375e-02
0.000000e+00,9.387755e-01,4.328787e-04,-2.041925e-02,2.085213e-02
0.000000e+00,9.591837e-01,3.796816e-04,-1.947253e-03,2.326935e-03
0.000000e+00,9.795918e-01,2.916455e-04,-1.104939e-02,1.134104e-02
0.000000e+00,1.000000e+00,1.563728e-04,-1.550763e-02,1.566400e-02
2.040816e-02,0.000000e+00,6.380990e-02,5.112470e-02,1.268521e-02
2.040816e-02,2.040816e-02,6.254110e-02,8.252843e-02,1.998734e-02
2.040816e-02,4.081633e-02,6.133458e-02,6.889176e-02,7.557184e-03
2.040816e-02,6.122449e-02,6.016165e-02,6.891139e-02,8.749738e-03
2.040816e-02,8.163265e-02,5.900335e-02,6.263572e-02,3.632367e-03
2.040816e-02,1.020408e-01,5.785111e-02,6.299591e-02,5.144805e-03
2.040816e-02,1.224490e-01,5.670509e-02,6.459177e-02,7.886685e-03
2.040816e-02,1.428571e-01,5.557048e-02,5.255459e-02,3.015894e-03
