epoch,loss,loss/beta,loss/data,loss/ic,loss/res,loss/rho,loss/sigma,lr,step
,,,,,,,,0.001,0
0,0.403755247592926,150.35047912597656,0.16532638669013977,0.208280548453331,0.03014843724668026,168.24172973632812,24.21792221069336,,149
,,,,,,,,0.001,150
1,0.3747749328613281,146.19482421875,0.2209446132183075,0.12916244566440582,0.024667764082551003,165.87088012695312,22.567367553710938,,299
,,,,,,,,0.001,300
2,0.4767482876777649,143.6600341796875,0.32026973366737366,0.13442054390907288,0.02205818146467209,164.35523986816406,21.55950164794922,,449
,,,,,,,,0.001,450
3,0.5812847018241882,141.42221069335938,0.4351942837238312,0.12444635480642319,0.021644022315740585,162.9536590576172,20.840166091918945,,599
,,,,,,,,0.001,600
4,0.514863133430481,138.9374542236328,0.3817799389362335,0.11281841993331909,0.020264795050024986,161.4151611328125,20.1294002532959,,749
,,,,,,,,0.001,750
5,0.5129534602165222,136.35353088378906,0.37965846061706543,0.11338480561971664,0.019910085946321487,159.83131408691406,19.449922561645508,,899
,,,,,,,,0.001,900
6,0.551262378692627,134.0185546875,0.4249534606933594,0.10790926963090897,0.018399439752101898,158.34304809570312,18.898469924926758,,1049
,,,,,,,,0.001,1050
7,0.5310679078102112,131.6080780029297,0.4125155806541443,0.10031092166900635,0.018241720274090767,156.76223754882812,18.36356544494629,,1199
,,,,,,,,0.001,1200
8,0.5262603163719177,128.9654083251953,0.42063581943511963,0.0874510109424591,0.018173569813370705,154.94439697265625,17.7493896484375,,1349
,,,,,,,,0.001,1350
9,0.5210980772972107,126.49650573730469,0.4096778333187103,0.09303902089595795,0.01838110201060772,153.26348876953125,17.16672706604004,,1499
,,,,,,,,0.001,1500
10,0.49187418818473816,123.98851013183594,0.38688167929649353,0.08686831593513489,0.0181241687387228,151.5921173095703,16.553308486938477,,1649
,,,,,,,,0.001,1650
11,0.511642336845398,121.25641632080078,0.4160195589065552,0.07770077139139175,0.017921920865774155,149.5794219970703,15.921772956848145,,1799
,,,,,,,,0.001,1800
12,0.4842773377895355,118.8089828491211,0.40821877121925354,0.05690215155482292,0.019156424328684807,147.89471435546875,15.266929626464844,,1949
,,,,,,,,0.001,1950
13,0.47877296805381775,116.08028411865234,0.4133785665035248,0.0464707687497139,0.01892351731657982,146.28250122070312,14.484479904174805,,2099
,,,,,,,,0.001,2100
14,0.4942573606967926,113.52156066894531,0.4317331910133362,0.04400218278169632,0.01852181926369667,144.4488067626953,13.819757461547852,,2249
,,,,,,,,0.001,2250
15,0.49912789463996887,111.06194305419922,0.4455219805240631,0.03565442934632301,0.01795157790184021,142.51458740234375,13.216605186462402,,2399
,,,,,,,,0.001,2400
16,0.49171262979507446,108.62382507324219,0.43936046957969666,0.03524127975106239,0.017110886052250862,140.09666442871094,12.696192741394043,,2549
,,,,,,,,0.001,2550
17,0.49275481700897217,106.25701141357422,0.4407455623149872,0.03513515740633011,0.016874220222234726,137.727294921875,12.193878173828125,,2699
,,,,,,,,0.001,2700
