epoch,loss,loss/bc_periodic,loss/ic,loss/pde_residual,loss/smma,lr,step
,,,,,,0.001,0
0,0.2213423103094101,0.07013718783855438,0.11850567907094955,0.032699257135391235,,,1249
,,,,,,0.000999998904474312,1250
1,0.10960885882377625,0.038879189640283585,0.059654515236616135,0.011075125075876713,,,2499
,,,,,,0.0009999956179020531,2500
2,0.10138924419879913,0.036780018359422684,0.054514385759830475,0.010094783268868923,,,3749
,,,,,,0.0009999901402976403,3750
3,0.09419547021389008,0.035136472433805466,0.04954545944929123,0.009513447992503643,,,4999
,,,,,,0.000999982471685101,5000
4,0.08981388807296753,0.03558730334043503,0.04461168870329857,0.009614898823201656,,,6249
,,,,,,0.0009999726120980732,6250
5,0.08380850404500961,0.035559557378292084,0.03777994215488434,0.010468999855220318,,,7499
,,,,,,0.0009999605615798061,7500
6,0.07520491629838943,0.03302623704075813,0.030249258503317833,0.011929497122764587,,,8749
,,,,,,0.000999946320183159,8750
7,0.07126063853502274,0.03248368948698044,0.024962615221738815,0.013814355246722698,,,9999
,,,,,,0.0009999298879706017,10000
8,0.06698060780763626,0.030832922086119652,0.02088690549135208,0.01526078674942255,,,11249
,,,,,,0.000999911265014214,11250
9,0.06670361757278442,0.03310444951057434,0.018175669014453888,0.015423518605530262,,,12499
,,,,,,0.0009998904513956852,12500
10,0.05982420593500137,0.03230099380016327,0.013878523372113705,0.013644743710756302,,,13749
,,,,,,0.000999867447206314,13750
11,0.059202685952186584,0.030455332249403,0.013944147154688835,0.014803209342062473,,,14999
,,,,,,0.0009998422525470082,15000
12,0.05621252581477165,0.030791860073804855,0.012016598135232925,0.013404023833572865,,,16249
,,,,,,0.0009998148675282837,16250
13,0.05621657148003578,0.03141336515545845,0.012184076942503452,0.01261912751942873,,,17499
,,,,,,0.0009997852922702648,17500
14,0.054456599056720734,0.03130251169204712,0.010346617549657822,0.012807470746338367,,,18749
,,,,,,0.0009997535269026829,18750
15,0.05387343838810921,0.030836759135127068,0.01006554625928402,0.012971089221537113,,,19999
,,,,,,0.0009997195715648764,20000
16,0.057967279106378555,0.03480559214949608,0.010632844641804695,0.012528794817626476,,,21249
,,,,,,0.00099968342640579,21250
17,0.05485745146870613,0.031833235174417496,0.009421680122613907,0.013602486811578274,,,22499
,,,,,,0.0009996450915839743,22500
18,0.050025615841150284,0.028959115967154503,0.007712419144809246,0.013354037888348103,,,23749
,,,,,,0.0009996045672675843,23750
19,0.05324001610279083,0.0313798189163208,0.008943634107708931,0.01291661337018013,,,24999
,,,,,,0.0009995618536343797,25000
20,0.05520465224981308,0.032611310482025146,0.008468583226203918,0.014124792069196701,,,26249
,,,,,,0.0009995169508717234,26250
21,0.05953941494226456,0.02912306785583496,0.010650546289980412,0.019765840843319893,,,27499
,,,,,,0.0009994698591765806,27500
22,0.05775595083832741,0.030312921851873398,0.007148934993892908,0.020294087007641792,0.07847878336906433,,28749
,,,,,,0.0009994205787555188,28750
23,0.055001355707645416,0.03081442601978779,0.008175351656973362,0.01601160503923893,0.077304907143116,,29999
,,,,,,0.000999369109824706,30000
24,0.050752460956573486,0.027761559933423996,0.006190870888531208,0.016800032928586006,0.07597728818655014,,31249
,,,,,,0.0009993154526099098,31250
25,0.05516517907381058,0.029692986980080605,0.007464222609996796,0.018007975071668625,0.07493668049573898,,32499
,,,,,,0.0009992596073464975,32500
26,0.05601752921938896,0.0312824621796608,0.006246490869671106,0.018488653004169464,0.07399072498083115,,33749
,,,,,,0.0009992015742794334,33750
27,0.05681326985359192,0.030047601088881493,0.006482827942818403,0.02028283290565014,0.07313185185194016,,34999
,,,,,,0.0009991413536632788,35000
28,0.0580737367272377,0.030109640210866928,0.006595115642994642,0.0213689673691988,0.07237894833087921,,36249
,,,,,,0.0009990789457621913,36250
29,0.058207057416439056,0.03372891992330551,0.005690035875886679,0.018788063898682594,0.07167035341262817,,37499
,,,,,,0.0009990143508499221,37500
30,0.06867548078298569,0.040273506194353104,0.006789575330913067,0.021612390875816345,0.0715206041932106,,38749
,,,,,,0.000998947569209816,38750
