x,t,u_pred,u_true,error,D_pred,D_true
0.000000e+00,0.000000e+00,-1.503736e-03,0.000000e+00,1.503736e-03,1.101805e-01,1.000000e-01
0.000000e+00,2.040816e-02,-1.334727e-03,-4.797982e-27,1.334727e-03,1.097428e-01,1.000000e-01
0.000000e+00,4.081633e-02,-1.460910e-03,-4.572389e-27,1.460910e-03,1.090277e-01,1.000000e-01
0.000000e+00,6.122449e-02,-1.699865e-03,-3.517375e-27,1.699865e-03,1.088695e-01,1.000000e-01
0.000000e+00,8.163265e-02,-1.909345e-03,-3.371103e-27,1.909345e-03,1.090821e-01,1.000000e-01
0.000000e+00,1.020408e-01,-2.010733e-03,-2.740777e-27,2.010733e-03,1.095956e-01,1.000000e-01
0.000000e+00,1.224490e-01,-2.010942e-03,-1.251887e-27,2.010942e-03,1.101558e-01,1.000000e-01
0.000000e+00,1.428571e-01,-1.963705e-03,-1.094244e-27,1.963705e-03,1.105983e-01,1.000000e-01
0.000000e+00,1.632653e-01,-1.921833e-03,-4.083418e-28,1.921833e-03,1.108115e-01,1.000000e-01
0.000000e+00,1.836735e-01,-1.913965e-03,-2.761959e-28,1.913965e-03,1.108279e-01,1.000000e-01
0.000000e+00,2.040816e-01,-1.944125e-03,-2.638212e-28,1.944125e-03,1.105066e-01,1.000000e-01
0.000000e+00,2.244898e-01,-2.000362e-03,-2.426473e-28,2.000362e-03,1.100130e-01,1.000000e-01
0.000000e+00,2.448980e-01,-2.065361e-03,-2.272406e-28,2.065361e-03,1.095713e-01,1.000000e-01
0.000000e+00,2.653061e-01,-2.122909e-03,-1.277636e-28,2.122909e-03,1.092933e-01,1.000000e-01
0.000000e+00,2.857143e-01,-2.161384e-03,-1.263026e-28,2.161384e-03,1.091935e-01,1.000000e-01
0.000000e+00,3.061225e-01,-2.174735e-03,-1.376689e-28,2.174735e-03,1.092545e-01,1.000000e-01
0.000000e+00,3.265306e-01,-2.161622e-03,-1.480691e-28,2.161622e-03,1.094514e-01,1.000000e-01
0.000000e+00,3.469388e-01,-2.124429e-03,-1.483062e-28,2.124429e-03,1.097435e-01,1.000000e-01
0.000000e+00,3.673469e-01,-2.067685e-03,-1.458286e-28,2.067685e-03,1.100598e-01,1.000000e-01
0.000000e+00,3.877551e-01,-1.996875e-03,-1.456699e-28,1.996875e-03,1.103396e-01,1.000000e-01
0.000000e+00,4.081632e-01,-1.917541e-03,-1.447928e-28,1.917541e-03,1.105821e-01,1.000000e-01
0.000000e+00,4.285714e-01,-1.834393e-03,-1.437353e-28,1.834393e-03,1.107792e-01,1.000000e-01
0.000000e+00,4.489796e-01,-1.751691e-03,-1.437562e-28,1.751691e-03,1.108526e-01,1.000000e-01
0.000000e+00,4.693877e-01,-1.672238e-03,-1.438774e-28,1.672238e-03,1.107030e-01,1.000000e-01
0.000000e+00,4.897959e-01,-1.598716e-03,-1.438941e-28,1.598716e-03,1.102928e-01,1.000000e-01
0.000000e+00,5.102041e-01,-1.533091e-03,-1.439599e-28,1.533091e-03,1.096781e-01,1.000000e-01
0.000000e+00,5.306122e-01,-1.477271e-03,-1.441470e-28,1.477271e-03,1.089610e-01,1.000000e-01
0.000000e+00,5.510204e-01,-1.432955e-03,-1.443816e-28,1.432955e-03,1.081945e-01,1.000000e-01
0.000000e+00,5.714286e-01,-1.401424e-03,-1.450967e-28,1.401424e-03,1.073979e-01,1.000000e-01
0.000000e+00,5.918368e-01,-1.382709e-03,-1.449872e-28,1.382709e-03,1.067119e-01,1.000000e-01
0.000000e+00,6.122449e-01,-1.375675e-03,-1.444074e-28,1.375675e-03,1.062861e-01,1.000000e-01
0.000000e+00,6.326531e-01,-1.376837e-03,-1.442025e-28,1.376837e-03,1.060833e-01,1.000000e-01
0.000000e+00,6.530612e-01,-1.381338e-03,-1.443114e-28,1.381338e-03,1.060174e-01,1.000000e-01
0.000000e+00,6.734694e-01,-1.382917e-03,-1.445904e-28,1.382917e-03,1.061385e-01,1.000000e-01
0.000000e+00,6.938776e-01,-1.375765e-03,-1.445400e-28,1.375765e-03,1.065675e-01,1.000000e-01
0.000000e+00,7.142857e-01,-1.355231e-03,-1.443493e-28,1.355231e-03,1.069977e-01,1.000000e-01
0.000000e+00,7.346939e-01,-1.319408e-03,-1.443009e-28,1.319408e-03,1.074622e-01,1.000000e-01
0.000000e+00,7.551020e-01,-1.269281e-03,-1.442804e-28,1.269281e-03,1.079861e-01,1.000000e-01
0.000000e+00,7.755102e-01,-1.208216e-03,-1.442533e-28,1.208216e-03,1.085160e-01,1.000000e-01
0.000000e+00,7.959183e-01,-1.141667e-03,-1.442452e-28,1.141667e-03,1.088815e-01,1.000000e-01
0.000000e+00,8.163266e-01,-1.075745e-03,-1.442040e-28,1.075745e-03,1.089159e-01,1.000000e-01
0.000000e+00,8.367347e-01,-1.016557e-03,-1.442068e-28,1.016557e-03,1.086396e-01,1.000000e-01
0.000000e+00,8.571429e-01,-9.694099e-04,-1.442044e-28,9.694099e-04,1.082066e-01,1.000000e-01
0.000000e+00,8.775510e-01,-9.390712e-04,-1.442191e-28,9.390712e-04,1.076537e-01,1.000000e-01
0.000000e+00,8.979592e-01,-9.299815e-04,-1.442444e-28,9.299815e-04,1.067704e-01,1.000000e-01
0.000000e+00,9.183673e-01,-9.463131e-04,-1.443082e-28,9.463131e-04,1.055131e-01,1.000000e-01
0.000000e+00,9.387755e-01,-9.924471e-04,-1.443257e-28,9.924471e-04,1.039457e-01,1.000000e-01
0.000000e+00,9.591837e-01,-1.073480e-03,-1.442902e-28,1.073480e-03,1.019534e-01,1.000000e-01
0.000000e+00,9.795918e-01,-1.194835e-03,-1.442820e-28,1.194835e-03,9.957550e-02,1.000000e-01
0.000000e+00,1.000000e+00,-1.362801e-03,-1.443460e-28,1.362801e-03,9.718241e-02,1.000000e-01
2.040816e-02,0.000000e+00,6.249535e-02,6.405875e-02,1.563399e-03,1.114838e-01,1.063939e-01
2.040816e-02,2.040816e-02,6.438571e-02,6.972594e-02,5.340227e-03,1.111922e-01,1.063939e-01
2.040816e-02,4.081633e-02,6.508791e-02,7.093705e-02,5.849133e-03,1.106422e-01,1.063939e-01
2.040816e-02,6.122449e-02,6.488907e-02,7.081254e-02,5.923470e-03,1.106084e-01,1.063939e-01
2.040816e-02,8.163265e-02,6.408325e-02,7.006753e-02,5.984286e-03,1.109465e-01,1.063939e-01
2.040816e-02,1.020408e-01,6.291234e-02,6.901412e-02,6.101779e-03,1.116142e-01,1.063939e-01
2.040816e-02,1.224490e-01,6.153381e-02,6.776367e-02,6.229859e-03,1.122954e-01,1.063939e-01
2.040816e-02,1.428571e-01,6.004250e-02,6.642800e-02,6.385501e-03,1.127745e-01,1.063939e-01
2.040816e-02,1.632653e-01,5.850083e-02,6.504640e-02,6.545573e-03,1.130106e-01,1.063939e-01
2.040816e-02,1.836735e-01,5.695662e-02,6.365212e-02,6.695500e-03,1.130181e-01,1.063939e-01
2.040816e-02,2.040816e-01,5.544776e-02,6.226428e-02,6.816523e-03,1.126958e-01,1.063939e-01
2.040816e-02,2.244898e-01,5.400285e-02,6.089543e-02,6.892582e-03,1.121999e-01,1.063939e-01
2.040816e-02,2.448980e-01,5.263981e-02,5.955283e-02,6.913018e-03,1.117640e-01,1.063939e-01
2.040816e-02,2.653061e-01,5.136666e-02,5.823907e-02,6.872409e-03,1.115212e-01,1.063939e-01
2.040816e-02,2.857143e-01,5.018288e-02,5.696056e-02,6.777677e-03,1.114885e-01,1.063939e-01
2.040816e-02,3.061225e-01,4.908159e-02,5.571382e-02,6.632222e-03,1.116434e-01,1.063939e-01
2.040816e-02,3.265306e-01,4.805207e-02,5.450159e-02,6.449521e-03,1.119561e-01,1.063939e-01
2.040816e-02,3.469388e-01,4.708198e-02,5.332321e-02,6.241237e-03,1.123727e-01,1.063939e-01
2.040816e-02,3.673469e-01,4.615888e-02,5.217559e-02,6.016712e-03,1.128119e-01,1.063939e-01
