x,t,u_pred,u_true,error
6.326531e-01,6.326531e-01,-3.911079e-01,-3.826240e-01,8.483887e-03
6.326531e-01,6.530612e-01,-3.837157e-01,-3.450083e-01,3.870741e-02
6.326531e-01,6.734694e-01,-3.763713e-01,-3.162051e-01,6.016612e-02
6.326531e-01,6.938776e-01,-3.690276e-01,-3.195381e-01,4.948956e-02
6.326531e-01,7.142857e-01,-3.616447e-01,-3.047158e-01,5.692896e-02
6.326531e-01,7.346939e-01,-3.541893e-01,-2.898741e-01,6.431520e-02
6.326531e-01,7.551020e-01,-3.466389e-01,-2.694300e-01,7.720888e-02
6.326531e-01,7.755102e-01,-3.389840e-01,-2.683380e-01,7.064596e-02
6.326531e-01,7.959183e-01,-3.312293e-01,-2.668356e-01,6.439376e-02
6.326531e-01,8.163266e-01,-3.233945e-01,-2.701661e-01,5.322838e-02
6.326531e-01,8.367347e-01,-3.155141e-01,-2.484051e-01,6.710894e-02
6.326531e-01,8.571429e-01,-3.076377e-01,-2.347877e-01,7.284994e-02
6.326531e-01,8.775510e-01,-2.998248e-01,-2.035617e-01,9.626311e-02
6.326531e-01,8.979592e-01,-2.921427e-01,-1.916052e-01,1.005375e-01
6.326531e-01,9.183673e-01,-2.846600e-01,-2.060667e-01,7.859327e-02
6.326531e-01,9.387755e-01,-2.774420e-01,-1.950867e-01,8.235528e-02
6.326531e-01,9.591837e-01,-2.705456e-01,-1.676331e-01,1.029125e-01
6.326531e-01,9.795918e-01,-2.640164e-01,-1.559768e-01,1.080396e-01
6.326531e-01,1.000000e+00,-2.578890e-01,-1.355775e-01,1.223116e-01
6.734694e-01,0.000000e+00,-8.433098e-01,-8.638848e-01,2.057505e-02
6.734694e-01,2.040816e-02,-8.117245e-01,-8.273851e-01,1.566052e-02
6.734694e-01,4.081633e-02,-7.810348e-01,-7.865860e-01,5.551159e-03
6.734694e-01,6.122449e-02,-7.515360e-01,-7.828789e-01,3.134292e-02
6.734694e-01,8.163265e-02,-7.232937e-01,-7.175474e-01,5.746305e-03
6.734694e-01,1.020408e-01,-6.963362e-01,-6.949568e-01,1.379430e-03
6.734694e-01,1.224490e-01,-6.707249e-01,-6.875541e-01,1.682919e-02
6.734694e-01,1.428571e-01,-6.465417e-01,-6.637990e-01,1.725733e-02
6.734694e-01,1.632653e-01,-6.238502e-01,-6.426802e-01,1.883000e-02
6.734694e-01,1.836735e-01,-6.026677e-01,-6.140242e-01,1.135653e-02
6.734694e-01,2.040816e-01,-5.829578e-01,-5.916458e-01,8.687973e-03
6.734694e-01,2.244898e-01,-5.646392e-01,-5.621569e-01,2.482355e-03
6.734694e-01,2.448980e-01,-5.476031e-01,-5.544347e-01,6.831527e-03
6.734694e-01,2.653061e-01,-5.317293e-01,-5.529676e-01,2.123827e-02
6.734694e-01,2.857143e-01,-5.169001e-01,-5.319422e-01,1.504213e-02
6.734694e-01,3.061225e-01,-5.030074e-01,-5.106752e-01,7.667780e-03
6.734694e-01,3.265306e-01,-4.899563e-01,-4.923447e-01,2.388418e-03
6.734694e-01,3.469388e-01,-4.776655e-01,-4.743480e-01,3.317505e-03
6.734694e-01,3.673469e-01,-4.660663e-01,-4.583194e-01,7.746935e-03
6.734694e-01,3.877551e-01,-4.550979e-01,-4.607153e-01,5.617350e-03
6.734694e-01,4.081632e-01,-4.447074e-01,-4.469271e-01,2.219737e-03
6.734694e-01,4.285714e-01,-4.348432e-01,-4.120206e-01,2.282256e-02
6.734694e-01,4.489796e-01,-4.254543e-01,-4.204549e-01,4.999399e-03
6.734694e-01,4.693877e-01,-4.164888e-01,-4.052013e-01,1.128745e-02
6.734694e-01,4.897959e-01,-4.078907e-01,-3.925655e-01,1.532525e-02
6.734694e-01,5.102041e-01,-3.996028e-01,-3.890112e-01,1.059154e-02
6.734694e-01,5.306122e-01,-3.915632e-01,-3.671203e-01,2.444285e-02
6.734694e-01,5.510204e-01,-3.837103e-01,-3.365263e-01,4.718402e-02
6.734694e-01,5.714286e-01,-3.759835e-01,-3.485070e-01,2.747646e-02
6.734694e-01,5.918368e-01,-3.683243e-01,-3.406025e-01,2.772176e-02
6.734694e-01,6.122449e-01,-3.606808e-01,-3.315072e-01,2.917364e-02
6.734694e-01,6.326531e-01,-3.530091e-01,-3.294321e-01,2.357697e-02
6.734694e-01,6.530612e-01,-3.452748e-01,-3.142947e-01,3.098011e-02
6.734694e-01,6.734694e-01,-3.374566e-01,-2.893566e-01,4.809996e-02
6.734694e-01,6.938776e-01,-3.295447e-01,-2.880459e-01,4.149887e-02
6.734694e-01,7.142857e-01,-3.215415e-01,-2.595685e-01,6.197301e-02
6.734694e-01,7.346939e-01,-3.134620e-01,-2.566442e-01,5.681777e-02
6.734694e-01,7.551020e-01,-3.053311e-01,-2.538405e-01,5.149058e-02
6.734694e-01,7.755102e-01,-2.971830e-01,-2.388566e-01,5.832645e-02
6.734694e-01,7.959183e-01,-2.890596e-01,-2.189524e-01,7.010719e-02
6.734694e-01,8.163266e-01,-2.810082e-01,-2.219342e-01,5.907400e-02
6.734694e-01,8.367347e-01,-2.730808e-01,-2.246464e-01,4.843441e-02
6.734694e-01,8.571429e-01,-2.653310e-01,-1.884919e-01,7.683909e-02
6.734694e-01,8.775510e-01,-2.578135e-01,-1.736610e-01,8.415249e-02
6.734694e-01,8.979592e-01,-2.505795e-01,-1.947582e-01,5.582124e-02
6.734694e-01,9.183673e-01,-2.436766e-01,-1.496645e-01,9.401211e-02
6.734694e-01,9.387755e-01,-2.371445e-01,-1.663075e-01,7.083698e-02
6.734694e-01,9.591837e-01,-2.310133e-01,-1.538500e-01,7.716323e-02
6.734694e-01,9.795918e-01,-2.253057e-01,-1.424448e-01,8.286081e-02
6.734694e-01,1.000000e+00,-2.200338e-01,-1.098135e-01,1.102204e-01
7.142857e-01,0.000000e+00,-7.701310e-01,-7.669985e-01,3.132522e-03
7.142857e-01,2.040816e-02,-7.374859e-01,-7.482830e-01,1.079714e-02
7.142857e-01,4.081633e-02,-7.060978e-01,-6.948236e-01,1.127416e-02
7.142857e-01,6.122449e-02,-6.763267e-01,-6.964443e-01,2.011764e-02
7.142857e-01,8.163265e-02,-6.484407e-01,-6.714764e-01,2.303576e-02
7.142857e-01,1.020408e-01,-6.225682e-01,-6.231930e-01,6.247163e-04
