x,t,u_pred,u_true,error
-9.591837e-01,3.265306e-01,6.219746e-02,5.696464e-02,5.232818e-03
-9.591837e-01,3.469388e-01,6.056130e-02,5.218402e-02,8.377276e-03
-9.591837e-01,3.673469e-01,5.899325e-02,7.050738e-02,1.151413e-02
-9.591837e-01,3.877551e-01,5.747280e-02,6.556412e-02,8.091323e-03
-9.591837e-01,4.081632e-01,5.597854e-02,6.196371e-02,5.985174e-03
-9.591837e-01,4.285714e-01,5.448836e-02,5.265027e-02,1.838092e-03
-9.591837e-01,4.489796e-01,5.297869e-02,6.394422e-02,1.096553e-02
-9.591837e-01,4.693877e-01,5.142517e-02,3.454097e-02,1.688420e-02
-9.591837e-01,4.897959e-01,4.980402e-02,5.022058e-02,4.165657e-04
-9.591837e-01,5.102041e-01,4.809242e-02,5.971433e-02,1.162191e-02
-9.591837e-01,5.306122e-01,4.627134e-02,5.573133e-02,9.459987e-03
-9.591837e-01,5.510204e-01,4.432718e-02,5.217948e-02,7.852294e-03
-9.591837e-01,5.714286e-01,4.225370e-02,5.379892e-02,1.154522e-02
-9.591837e-01,5.918368e-01,4.005530e-02,4.945713e-02,9.401821e-03
-9.591837e-01,6.122449e-01,3.774683e-02,3.182598e-02,5.920853e-03
-9.591837e-01,6.326531e-01,3.535649e-02,3.344519e-02,1.911305e-03
-9.591837e-01,6.530612e-01,3.292134e-02,3.301463e-02,9.328499e-05
-9.591837e-01,6.734694e-01,3.048560e-02,3.486304e-02,4.377438e-03
-9.591837e-01,6.938776e-01,2.809689e-02,4.991615e-02,2.181926e-02
-9.591837e-01,7.142857e-01,2.580068e-02,3.197742e-02,6.176738e-03
-9.591837e-01,7.346939e-01,2.363610e-02,3.111655e-02,7.480441e-03
-9.591837e-01,7.551020e-01,2.163401e-02,3.717824e-02,1.554422e-02
-9.591837e-01,7.755102e-01,1.981354e-02,1.558268e-02,4.230856e-03
-9.591837e-01,7.959183e-01,1.818392e-02,1.206071e-02,6.123204e-03
-9.591837e-01,8.163266e-01,1.674545e-02,2.622033e-02,9.474885e-03
-9.591837e-01,8.367347e-01,1.549056e-02,4.104918e-02,2.555862e-02
-9.591837e-01,8.571429e-01,1.440707e-02,2.372537e-02,9.318303e-03
-9.591837e-01,8.775510e-01,1.348019e-02,2.039658e-02,6.916394e-03
-9.591837e-01,8.979592e-01,1.269329e-02,2.990000e-02,1.720671e-02
-9.591837e-01,9.183673e-01,1.202929e-02,4.474229e-02,3.271300e-02
-9.591837e-01,9.387755e-01,1.147220e-02,1.232142e-02,8.492209e-04
-9.591837e-01,9.591837e-01,1.100686e-02,1.853528e-02,7.528413e-03
-9.591837e-01,9.795918e-01,1.061973e-02,1.723742e-02,6.617690e-03
-9.591837e-01,1.000000e+00,1.029849e-02,4.603739e-03,5.694753e-03
-9.183673e-01,0.000000e+00,2.542697e-01,2.592398e-01,4.970044e-03
-9.183673e-01,2.040816e-02,2.379726e-01,2.283030e-01,9.669527e-03
-9.183673e-01,4.081633e-02,2.233002e-01,2.262600e-01,2.959773e-03
-9.183673e-01,6.122449e-02,2.120141e-01,2.120000e-01,1.414120e-05
-9.183673e-01,8.163265e-02,2.026193e-01,2.072383e-01,4.619092e-03
-9.183673e-01,1.020408e-01,1.941733e-01,1.951852e-01,1.011953e-03
-9.183673e-01,1.224490e-01,1.865086e-01,1.854799e-01,1.028687e-03
-9.183673e-01,1.428571e-01,1.792367e-01,1.704587e-01,8.777916e-03
-9.183673e-01,1.632653e-01,1.722196e-01,1.754296e-01,3.209919e-03
-9.183673e-01,1.836735e-01,1.653892e-01,1.881257e-01,2.273649e-02
-9.183673e-01,2.040816e-01,1.587875e-01,1.527499e-01,6.037623e-03
-9.183673e-01,2.244898e-01,1.524953e-01,1.489919e-01,3.503382e-03
-9.183673e-01,2.448980e-01,1.465650e-01,1.549456e-01,8.380622e-03
-9.183673e-01,2.653061e-01,1.410043e-01,1.504913e-01,9.487003e-03
-9.183673e-01,2.857143e-01,1.357882e-01,1.353586e-01,4.295707e-04
-9.183673e-01,3.061225e-01,1.308743e-01,1.294235e-01,1.450792e-03
-9.183673e-01,3.265306e-01,1.262170e-01,1.264655e-01,2.484471e-04
-9.183673e-01,3.469388e-01,1.217773e-01,1.365799e-01,1.480260e-02
-9.183673e-01,3.673469e-01,1.175272e-01,1.088556e-01,8.671634e-03
-9.183673e-01,3.877551e-01,1.134532e-01,1.210484e-01,7.595181e-03
-9.183673e-01,4.081632e-01,1.095539e-01,1.053800e-01,4.173875e-03
-9.183673e-01,4.285714e-01,1.058379e-01,1.053634e-01,4.744679e-04
-9.183673e-01,4.489796e-01,1.023195e-01,1.002318e-01,2.087690e-03
-9.183673e-01,4.693877e-01,9.901303e-02,1.053098e-01,6.296799e-03
-9.183673e-01,4.897959e-01,9.592956e-02,8.883262e-02,7.096946e-03
-9.183673e-01,5.102041e-01,9.307398e-02,1.022833e-01,9.209342e-03
-9.183673e-01,5.306122e-01,9.044468e-02,8.897980e-02,1.464881e-03
