epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
23,0.1464100331068039,0.08013874292373657,0.00886497087776661,0.574244499206543,5.424516348284669e-05,9.58980672294274e-06,5.7057321100728586e-05,7.760194421280175e-06,7.387608638964593e-05,7.307489795493893e-06,7.258014375111088e-05,9.606567800801713e-06,0.0063301995396614075,0.10805775970220566,0.02776186354458332,0.4765271544456482,0.00260123866610229,0.0013669534819200635,2.019482374191284,,1511
,,,,,,,,,,,,,,,,,,,,0.0009998422525470082,1512
24,0.14937281608581543,0.08574403822422028,0.009510754607617855,0.6183374524116516,3.1381357985083014e-05,1.2193871043564286e-05,3.905183984898031e-05,1.1217367500648834e-05,2.9173079383326694e-05,9.878879609459545e-06,3.039066905330401e-05,1.0114574251929298e-05,0.007811812683939934,0.1144459992647171,0.024850478395819664,0.4959444999694824,0.0014890828169882298,0.0006020238506607711,1.9259769916534424,,1574
,,,,,,,,,,,,,,,,,,,,0.0009998288338252906,1575
25,0.1309027075767517,0.08944037556648254,0.010500319302082062,0.6606281399726868,5.159455395187251e-05,1.2782719750248361e-05,6.078184742364101e-05,5.4819734032207634e-06,5.336395770427771e-05,6.35472179055796e-06,5.9006262745242566e-05,9.58642613113625e-06,0.004854948725551367,0.09896671026945114,0.024552784860134125,0.5128899812698364,0.0015860359417274594,0.0006832762737758458,1.8362232446670532,,1637
,,,,,,,,,,,,,,,,,,,,0.0009998148675282837,1638
26,0.1268979161977768,0.10194665938615799,0.011512855999171734,0.7012245059013367,3.3322092349408194e-05,1.9906676243408583e-05,6.79873046465218e-05,1.5202747817966156e-05,4.764066397910938e-05,9.319297532783821e-06,4.804735362995416e-05,1.6031195627874695e-05,0.004972290247678757,0.09211335331201553,0.026886101812124252,0.5414562821388245,0.0016198805533349514,0.0010488226544111967,1.7507569789886475,,1700
,,,,,,,,,,,,,,,,,,,,0.000999800353671303,1701
27,0.13933910429477692,0.108855701982975,0.014178778976202011,0.7498779892921448,2.5998886485467665e-05,3.434929749346338e-05,4.379557503852993e-05,2.2445225113187917e-05,3.68977889593225e-05,2.6671606974559836e-05,3.138651300105266e-05,1.5819578038644977e-05,0.005896058864891529,0.10611960291862488,0.02465207315981388,0.5679930448532104,0.0010141736129298806,0.0014198191929608583,1.6701860427856445,,1763
,,,,,,,,,,,,,,,,,,,,0.0009997852922702648,1764
28,0.13403771817684174,0.11145278066396713,0.017284002155065536,0.8038038611412048,2.874607889680192e-05,8.204377991205547e-06,4.2174357076874e-05,4.547958269540686e-06,4.915670433547348e-05,5.142837380844867e-06,4.290368451620452e-05,4.254984560247976e-06,0.00534575991332531,0.09770811349153519,0.02895178087055683,0.6084362864494324,0.0009496551938354969,0.0008972766227088869,1.5933786630630493,,1826
,,,,,,,,,,,,,,,,,,,,0.0009997696833416857,1827
29,0.12535454332828522,0.11523588001728058,0.017430508509278297,0.8473440408706665,2.9850862119928934e-05,2.6693571726355003e-06,5.8773610362550244e-05,1.338594643129909e-06,5.278329263092019e-05,1.2420762232068228e-06,4.5566896005766466e-05,2.8166668926132843e-06,0.005152015946805477,0.09168046712875366,0.02676781266927719,0.6424534320831299,0.0010643207933753729,0.000494879437610507,1.5199774503707886,,1889
,,,,,,,,,,,,,,,,,,,,0.0009997535269026829,1890
30,0.129883274435997,0.1207098439335823,0.017562001943588257,0.8892175555229187,5.151843652129173e-05,2.3944787699292647e-06,7.547439599875361e-05,1.238460299646249e-06,6.352087802952155e-05,8.837395171212847e-07,6.929141818545759e-05,2.8123768061050214e-06,0.004913089331239462,0.09674571454524994,0.025831257924437523,0.6732866168022156,0.0013406174257397652,0.0007854674477130175,1.4504727125167847,,1952
,,,,,,,,,,,,,,,,,,,,0.0009997368229709737,1953
31,0.13074184954166412,0.12697717547416687,0.01765485666692257,0.9383701086044312,5.059670365881175e-05,2.364707597735105e-06,7.892886060290039e-05,1.4904665022186236e-06,7.91536585893482e-05,7.797733019287989e-07,7.947257108753547e-05,2.7714843326975824e-06,0.005063949152827263,0.09375887364149094,0.02887895330786705,0.7254503965377808,0.0018763819243758917,0.0008681474137119949,1.384486198425293,,2015
,,,,,,,,,,,,,,,,,,,,0.0009997195715648764,2016
32,0.12993291020393372,0.14015287160873413,0.01777774654328823,0.9908312559127808,5.2381605200935155e-05,2.723727220654837e-06,6.87485808157362e-05,1.2258137758180965e-06,4.803412957699038e-05,9.24016035241948e-07,9.062610479304567e-05,2.69243651018769e-06,0.004731468390673399,0.09748809039592743,0.024874592199921608,0.775068998336792,0.002161805285140872,0.00040960501064546406,1.321758508682251,,2078
,,,,,,,,,,,,,,,,,,,,0.0009997017727033089,2079
