t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
2.814071e-01,4.982358e+01,7.976271e+00,5.197807e+01,1.263936e+01,2.029552e-02,2.000000e-02
2.864322e-01,5.434035e+01,8.516456e+00,5.525183e+01,1.280498e+01,2.029552e-02,2.000000e-02
2.914573e-01,5.971875e+01,9.094185e+00,5.866369e+01,1.307654e+01,2.029552e-02,2.000000e-02
2.964824e-01,6.293542e+01,8.217088e+00,6.217834e+01,1.346576e+01,2.029552e-02,2.000000e-02
3.015076e-01,6.866376e+01,8.734509e+00,6.574950e+01,1.398653e+01,2.029552e-02,2.000000e-02
3.065327e-01,7.267950e+01,1.012560e+01,6.931635e+01,1.465461e+01,2.029552e-02,2.000000e-02
3.115578e-01,8.090715e+01,1.000032e+01,7.279990e+01,1.548697e+01,2.029552e-02,2.000000e-02
3.165829e-01,8.308641e+01,1.160538e+01,7.609992e+01,1.650074e+01,2.029552e-02,2.000000e-02
3.216080e-01,9.172218e+01,1.321553e+01,7.909614e+01,1.771175e+01,2.029552e-02,2.000000e-02
3.266332e-01,9.649921e+01,1.338198e+01,8.165376e+01,1.913258e+01,2.029552e-02,2.000000e-02
3.316583e-01,1.011705e+02,1.544726e+01,8.363302e+01,2.077022e+01,2.029552e-02,2.000000e-02
3.366834e-01,1.044571e+02,1.874760e+01,8.489997e+01,2.262356e+01,2.029552e-02,2.000000e-02
3.417086e-01,1.088974e+02,2.102639e+01,8.533595e+01,2.468023e+01,2.029552e-02,2.000000e-02
3.467337e-01,1.092815e+02,2.393381e+01,8.484809e+01,2.691257e+01,2.029552e-02,2.000000e-02
3.517588e-01,1.087239e+02,2.843854e+01,8.338374e+01,2.927275e+01,2.029552e-02,2.000000e-02
3.567840e-01,1.041392e+02,3.301623e+01,8.094913e+01,3.168831e+01,2.029552e-02,2.000000e-02
3.618090e-01,1.006454e+02,3.792805e+01,7.762387e+01,3.406186e+01,2.029552e-02,2.000000e-02
3.668342e-01,9.194114e+01,4.223709e+01,7.356148e+01,3.627919e+01,2.029552e-02,2.000000e-02
3.718593e-01,8.437086e+01,4.672900e+01,6.897287e+01,3.822490e+01,2.029552e-02,2.000000e-02
3.768844e-01,7.651582e+01,5.070503e+01,6.409709e+01,3.980111e+01,2.029552e-02,2.000000e-02
3.819095e-01,6.653108e+01,5.347060e+01,5.916631e+01,4.094104e+01,2.029552e-02,2.000000e-02
3.869347e-01,5.598589e+01,5.422950e+01,5.437489e+01,4.161369e+01,2.029552e-02,2.000000e-02
3.919598e-01,4.874564e+01,5.475476e+01,4.986531e+01,4.182052e+01,2.029552e-02,2.000000e-02
3.969849e-01,4.256593e+01,5.369019e+01,4.573212e+01,4.158857e+01,2.029552e-02,2.000000e-02
4.020101e-01,3.787024e+01,5.262959e+01,4.203362e+01,4.096276e+01,2.029552e-02,2.000000e-02
4.070352e-01,3.367370e+01,5.026837e+01,3.879755e+01,3.999945e+01,2.029552e-02,2.000000e-02
4.120603e-01,3.044121e+01,4.813839e+01,3.602248e+01,3.876135e+01,2.029552e-02,2.000000e-02
4.170854e-01,2.528762e+01,4.608710e+01,3.368332e+01,3.731331e+01,2.029552e-02,2.000000e-02
4.221106e-01,2.344048e+01,4.245906e+01,3.174281e+01,3.571836e+01,2.029552e-02,2.000000e-02
4.271357e-01,2.123969e+01,3.995927e+01,3.016327e+01,3.403476e+01,2.029552e-02,2.000000e-02
4.321608e-01,1.997218e+01,3.744737e+01,2.891203e+01,3.231353e+01,2.029552e-02,2.000000e-02
4.371859e-01,1.964543e+01,3.339593e+01,2.796068e+01,3.059693e+01,2.029552e-02,2.000000e-02
4.422111e-01,1.682325e+01,3.145106e+01,2.728285e+01,2.891829e+01,2.029552e-02,2.000000e-02
4.472362e-01,1.861555e+01,2.929167e+01,2.685294e+01,2.730241e+01,2.029552e-02,2.000000e-02
4.522613e-01,1.773142e+01,2.666332e+01,2.664669e+01,2.576654e+01,2.029552e-02,2.000000e-02
4.572864e-01,1.737320e+01,2.524054e+01,2.664270e+01,2.432188e+01,2.029552e-02,2.000000e-02
4.623116e-01,1.765403e+01,2.277024e+01,2.682360e+01,2.297477e+01,2.029552e-02,2.000000e-02
4.673367e-01,1.737611e+01,2.121073e+01,2.717661e+01,2.172807e+01,2.029552e-02,2.000000e-02
4.723618e-01,1.904207e+01,1.999872e+01,2.769354e+01,2.058194e+01,2.029552e-02,2.000000e-02
4.773869e-01,2.038380e+01,1.765648e+01,2.837015e+01,1.953490e+01,2.029552e-02,2.000000e-02
4.824121e-01,1.911879e+01,1.727447e+01,2.920533e+01,1.858424e+01,2.029552e-02,2.000000e-02
4.874372e-01,2.150770e+01,1.539772e+01,3.020012e+01,1.772665e+01,2.029552e-02,2.000000e-02
4.924623e-01,2.274402e+01,1.481582e+01,3.135661e+01,1.695854e+01,2.029552e-02,2.000000e-02
4.974875e-01,2.213193e+01,1.271922e+01,3.267715e+01,1.627638e+01,2.029552e-02,2.000000e-02
5.025126e-01,2.485620e+01,1.239581e+01,3.416371e+01,1.567690e+01,2.029552e-02,2.000000e-02
5.075377e-01,2.646767e+01,1.210804e+01,3.581776e+01,1.515740e+01,2.029552e-02,2.000000e-02
5.125628e-01,2.802337e+01,1.057021e+01,3.764042e+01,1.471584e+01,2.029552e-02,2.000000e-02
5.175879e-01,2.998883e+01,9.794445e+00,3.963259e+01,1.435110e+01,2.029552e-02,2.000000e-02
5.226130e-01,3.070579e+01,9.767470e+00,4.179511e+01,1.406308e+01,2.029552e-02,2.000000e-02
5.276382e-01,3.642613e+01,8.940668e+00,4.412820e+01,1.385287e+01,2.029552e-02,2.000000e-02
5.326633e-01,3.734651e+01,1.002585e+01,4.663027e+01,1.372291e+01,2.029552e-02,2.000000e-02
5.376884e-01,4.180667e+01,8.395253e+00,4.929633e+01,1.367711e+01,2.029552e-02,2.000000e-02
5.427135e-01,4.554802e+01,9.743484e+00,5.211607e+01,1.372097e+01,2.029552e-02,2.000000e-02
5.477387e-01,4.505136e+01,8.799044e+00,5.507216e+01,1.386166e+01,2.029552e-02,2.000000e-02
5.527638e-01,5.149023e+01,9.197227e+00,5.813882e+01,1.410808e+01,2.029552e-02,2.000000e-02
