epoch,loss,loss/bc_left,loss/bc_right,loss/data,loss/ic,loss/nu,loss/pde_residual,lr,step
,,,,,,,,0.001,0
0,0.5932642221450806,0.0544448122382164,0.04444292187690735,0.06667686998844147,0.22685590386390686,0.013251961208879948,0.2008441835641861,,1249
,,,,,,,,0.001,1250
1,0.08368587493896484,0.006610185839235783,0.005589075852185488,0.012707889080047607,0.02328258566558361,0.007774311117827892,0.03549625724554062,,2499
,,,,,,,,0.001,2500
2,0.05840753763914108,0.0036728018894791603,0.003719629719853401,0.009499507956206799,0.01812037266790867,0.0010893127182498574,0.023395229130983353,,3749
,,,,,,,,0.001,3750
3,0.05413740128278732,0.002923182910308242,0.002958402968943119,0.010243939235806465,0.01748049259185791,0.0006476222770288587,0.020531324669718742,,4999
,,,,,,,,0.001,5000
4,0.04521379992365837,0.00253546261228621,0.0024044872261583805,0.007798377890139818,0.014121457003057003,0.00047686375910416245,0.018354002386331558,,6249
,,,,,,,,0.001,6250
5,0.04543621838092804,0.002191690029576421,0.0019427009392529726,0.009028410539031029,0.01257406361401081,0.0003960850590374321,0.019699368625879288,,7499
,,,,,,,,0.001,7500
6,0.04050527140498161,0.0021670113783329725,0.001798465964384377,0.007084401790052652,0.01169031672179699,0.00034452020190656185,0.017765024676918983,,8749
,,,,,,,,0.001,8750
7,0.04035162180662155,0.0019102571532130241,0.0016842435579746962,0.007111131213605404,0.011762527748942375,0.0003043741453438997,0.017883488908410072,,9999
,,,,,,,,0.001,10000
8,0.04447046294808388,0.0020499590318650007,0.0017203603638336062,0.008856543339788914,0.013041104190051556,0.00028351176297292113,0.01880250684916973,,11249
,,,,,,,,0.001,11250
9,0.04768121615052223,0.002170778810977936,0.002003285102546215,0.012127122841775417,0.012305807322263718,0.000251987628871575,0.01907418668270111,,12499
,,,,,,,,0.001,12500
10,0.03719316050410271,0.0016717937542125583,0.0015188531251624227,0.006888350006192923,0.010204245336353779,0.00023010851873550564,0.016909906640648842,,13749
,,,,,,,,0.001,13750
11,0.04073543846607208,0.002179191680625081,0.0018761761020869017,0.007392656058073044,0.011006838642060757,0.00022139189240988344,0.018280576914548874,,14999
,,,,,,,,0.001,15000
12,0.03980713337659836,0.002198337810114026,0.0019460178446024656,0.0074937231838703156,0.010466105304658413,0.0002176475536543876,0.01770298182964325,,16249
,,,,,,,,0.001,16250
13,0.04436440020799637,0.0017528095049783587,0.001926533179357648,0.011713771149516106,0.010549907572567463,0.00019730876374524087,0.018421407788991928,,17499
,,,,,,,,0.001,17500
14,0.03648731857538223,0.0016736401012167335,0.0016706653404980898,0.00706111965700984,0.009532453492283821,0.00018170475959777832,0.01654943823814392,,18749
,,,,,,,,0.001,18750
15,0.04163103550672531,0.001878098351880908,0.0017921801190823317,0.011149581521749496,0.009874348528683186,0.00017005942936521024,0.016936805099248886,,19999
,,,,,,,,0.001,20000
16,0.036160241812467575,0.0019558940548449755,0.0016598232323303819,0.006823277100920677,0.009182021953165531,0.0001638316607568413,0.016539277508854866,,21249
,,,,,,,,0.001,21250
17,0.04178282618522644,0.0018357286462560296,0.0017533147474750876,0.01099037192761898,0.010191674344241619,0.00015775497013237327,0.017011716961860657,,22499
,,,,,,,,0.001,22500
18,0.033309463411569595,0.0013477593893185258,0.00139223865699023,0.006970465183258057,0.007833616808056831,0.00015211253776215017,0.015765387564897537,,23749
,,,,,,,,0.001,23750
19,0.036783114075660706,0.001633565523661673,0.0015821087872609496,0.007795479614287615,0.010256865993142128,0.00014627471682615578,0.015515055507421494,,24999
,,,,,,,,0.001,25000
20,0.03574506565928459,0.001528172753751278,0.001469314331188798,0.010548708029091358,0.008158884011209011,0.00014000842929817736,0.014039970003068447,,26249
,,,,,,,,0.001,26250
21,0.03640676289796829,0.0018101043533533812,0.001702780369669199,0.006950302980840206,0.008933592587709427,0.00014079957327339798,0.017009975388646126,,27499
,,,,,,,,0.001,27500
22,0.031275585293769836,0.0014868414727970958,0.0014570287894457579,0.006902037188410759,0.0073992181569337845,0.00013805352500639856,0.014030523598194122,,28749
,,,,,,,,0.001,28750
23,0.0391881987452507,0.0016460991464555264,0.0015383404679596424,0.009155021980404854,0.010276002809405327,0.00013264705194160342,0.016572702676057816,,29999
,,,,,,,,0.001,30000
24,0.04722319915890694,0.0017778553301468492,0.0017001449596136808,0.014490087516605854,0.0120027931407094,0.00012533040717244148,0.01725229062139988,,31249
,,,,,,,,0.001,31250
25,0.042465176433324814,0.0014996577519923449,0.0016114639583975077,0.011508431285619736,0.010407171212136745,0.00012323076953180134,0.017438512295484543,,32499
,,,,,,,,0.001,32500
26,0.03427797928452492,0.0019743444863706827,0.0014935829676687717,0.009282628074288368,0.007555021438747644,0.00012298957153689116,0.013972384855151176,,33749
,,,,,,,,0.001,33750
27,0.033596254885196686,0.0014651732053607702,0.001422738190740347,0.007931175641715527,0.007932404056191444,0.0001236694515682757,0.014844786375761032,,34999
,,,,,,,,0.001,35000
28,0.0405052974820137,0.0021520406007766724,0.0023181517608463764,0.010350560769438744,0.010043631307780743,0.00012288930884096771,0.015640955418348312,,36249
,,,,,,,,0.001,36250
29,0.035537127405405045,0.0015125647187232971,0.0013389216037467122,0.008553355000913143,0.008515520952641964,0.00011818284838227555,0.015616748481988907,,37499
,,,,,,,,0.001,37500
30,0.03905656933784485,0.0018997194711118937,0.0017570938216522336,0.011268477886915207,0.008097423240542412,0.00010982906678691506,0.016033850610256195,,38749
,,,,,,,,0.001,38750
